customer_id,past_complaint,had_complaint,complaint_status,feedback
91,Yes,1,Solved in Follow-up,Poor Product Quality
92,No,0,Not Applicable,No reason specified
93,Yes,1,Unsolved,No reason specified
94,Yes,1,Solved in Follow-up,Products always in Stock
95,Yes,1,Solved,Poor Customer Service
96,Yes,1,Solved,Poor Website
97,No,0,Not Applicable,No reason specified
98,No,0,Not Applicable,Too many ads
99,Yes,1,Solved in Follow-up,No reason specified
100,No,0,Not Applicable,Poor Website
101,Yes,1,No Information Available,Poor Customer Service
102,Yes,1,Unsolved,Poor Customer Service
103,No,0,Not Applicable,Poor Customer Service
104,No,0,Not Applicable,Poor Customer Service
105,No,0,Not Applicable,Poor Customer Service
106,No,0,Not Applicable,Too many ads
107,Yes,1,Solved,Poor Website
108,No,0,Not Applicable,Too many ads
109,No,0,Not Applicable,Poor Customer Service
110,No,0,Not Applicable,Poor Product Quality
111,Yes,1,Solved,Poor Website
112,Yes,1,Solved,Poor Customer Service
113,No,0,Not Applicable,Poor Product Quality
114,No,0,Not Applicable,Poor Customer Service
115,No,0,Not Applicable,Too many ads
116,No,0,Not Applicable,Poor Website
117,No,0,Not Applicable,Reasonable Price
118,No,0,Not Applicable,Poor Customer Service
119,No,0,Not Applicable,Poor Product Quality
120,Yes,1,Solved in Follow-up,No reason specified
121,No,0,Not Applicable,No reason specified
122,No,0,Not Applicable,Poor Customer Service
123,No,0,Not Applicable,No reason specified
124,No,0,Not Applicable,Poor Product Quality
125,Yes,1,Unsolved,Poor Website
126,Yes,1,Solved in Follow-up,Poor Product Quality
127,No,0,Not Applicable,Poor Product Quality
128,No,0,Not Applicable,Poor Customer Service
129,No,0,Not Applicable,User Friendly Website
130,Yes,1,Unsolved,Poor Customer Service
131,Yes,1,Solved,Too many ads
132,Yes,1,Solved,Poor Product Quality
133,Yes,1,Solved in Follow-up,Poor Website
134,No,0,Not Applicable,Poor Customer Service
135,Yes,1,Unsolved,Too many ads
136,Yes,1,Solved,Poor Website
137,No,0,Not Applicable,No reason specified
138,No,0,Not Applicable,No reason specified
139,No,0,Not Applicable,Too many ads
140,Yes,1,Solved,Poor Website
141,Yes,1,Unsolved,Poor Customer Service
142,Yes,1,Solved,Poor Website
143,Yes,1,No Information Available,Poor Customer Service
144,Yes,1,Solved,Poor Website
145,No,0,Not Applicable,Poor Website
146,No,0,Not Applicable,No reason specified
147,No,0,Not Applicable,User Friendly Website
148,Yes,1,Solved in Follow-up,Quality Customer Care
149,No,0,Not Applicable,Poor Customer Service
150,No,0,Not Applicable,Poor Product Quality
151,Yes,1,Solved,Poor Customer Service
152,No,0,Not Applicable,Poor Product Quality
153,No,0,Not Applicable,No reason specified
154,No,0,Not Applicable,Products always in Stock
155,Yes,1,No Information Available,Products always in Stock
156,No,0,Not Applicable,Products always in Stock
157,No,0,Not Applicable,Too many ads
158,No,0,Not Applicable,User Friendly Website
159,Yes,1,Solved,Poor Customer Service
160,No,0,Not Applicable,Poor Product Quality
161,No,0,Not Applicable,No reason specified
162,Yes,1,Solved in Follow-up,Too many ads
163,No,0,Not Applicable,Too many ads
164,Yes,1,Solved,Poor Product Quality
165,Yes,1,Unsolved,Reasonable Price
166,Yes,1,Solved in Follow-up,Poor Website
167,Yes,1,No Information Available,Poor Product Quality
168,No,0,Not Applicable,Poor Product Quality
169,No,0,Not Applicable,Poor Customer Service
170,No,0,Not Applicable,Poor Website
171,No,0,Not Applicable,Poor Product Quality
172,Yes,1,No Information Available,Poor Product Quality
173,Yes,1,Solved,Poor Product Quality
174,Yes,1,Unsolved,Poor Product Quality
175,No,0,Not Applicable,Poor Customer Service
176,Yes,1,Solved in Follow-up,Poor Website
177,No,0,Not Applicable,No reason specified
178,Yes,1,Solved in Follow-up,Poor Website
179,No,0,Not Applicable,Poor Customer Service
180,Yes,1,No Information Available,No reason specified
181,Yes,1,Solved in Follow-up,Poor Website
182,Yes,1,Solved in Follow-up,User Friendly Website
183,Yes,1,No Information Available,Poor Website
184,No,0,Not Applicable,Poor Product Quality
185,Yes,1,Unsolved,Too many ads
186,Yes,1,Solved in Follow-up,User Friendly Website
187,Yes,1,Solved,Poor Customer Service
188,Yes,1,No Information Available,No reason specified
189,Yes,1,Solved in Follow-up,Poor Customer Service
190,Yes,1,Unsolved,Poor Website
191,No,0,Not Applicable,Products always in Stock
192,Yes,1,No Information Available,Too many ads
193,No,0,Not Applicable,Poor Website
194,No,0,Not Applicable,No reason specified
195,Yes,1,Solved in Follow-up,No reason specified
196,Yes,1,Solved in Follow-up,No reason specified
197,Yes,1,No Information Available,Poor Customer Service
198,No,0,Not Applicable,Poor Customer Service
199,Yes,1,No Information Available,Poor Website
200,No,0,Not Applicable,Poor Website
201,Yes,1,Solved,Poor Product Quality
202,Yes,1,Solved,User Friendly Website
203,Yes,1,No Information Available,Too many ads
204,Yes,1,Solved,No reason specified
205,No,0,Not Applicable,Poor Website
206,Yes,1,Unsolved,Too many ads
207,Yes,1,Solved in Follow-up,Poor Customer Service
208,Yes,1,Unsolved,Poor Product Quality
209,Yes,1,Solved in Follow-up,Too many ads
210,No,0,Not Applicable,User Friendly Website
211,No,0,Not Applicable,Quality Customer Care
212,Yes,1,Solved,Products always in Stock
213,No,0,Not Applicable,No reason specified
214,No,0,Not Applicable,Poor Product Quality
215,Yes,1,Unsolved,Poor Customer Service
216,Yes,1,No Information Available,Quality Customer Care
217,No,0,Not Applicable,Too many ads
218,Yes,1,Unsolved,Poor Product Quality
219,Yes,1,No Information Available,Too many ads
220,No,0,Not Applicable,Poor Website
221,No,0,Not Applicable,Poor Website
222,Yes,1,Solved,Poor Website
223,No,0,Not Applicable,Poor Customer Service
224,No,0,Not Applicable,Poor Product Quality
225,Yes,1,Solved,Quality Customer Care
226,No,0,Not Applicable,Too many ads
227,Yes,1,Solved in Follow-up,Poor Product Quality
228,No,0,Not Applicable,Poor Product Quality
229,No,0,Not Applicable,Too many ads
230,Yes,1,Solved,Poor Product Quality
231,No,0,Not Applicable,User Friendly Website
232,No,0,Not Applicable,Poor Customer Service
233,No,0,Not Applicable,Poor Customer Service
234,No,0,Not Applicable,Poor Customer Service
235,No,0,Not Applicable,Too many ads
236,Yes,1,Solved in Follow-up,Poor Website
237,No,0,Not Applicable,Poor Website
238,No,0,Not Applicable,No reason specified
239,Yes,1,Solved in Follow-up,Quality Customer Care
240,No,0,Not Applicable,Products always in Stock
241,Yes,1,No Information Available,Poor Product Quality
242,Yes,1,Solved,Poor Website
243,No,0,Not Applicable,Poor Website
244,No,0,Not Applicable,Poor Customer Service
245,No,0,Not Applicable,Too many ads
246,No,0,Not Applicable,Too many ads
247,No,0,Not Applicable,Quality Customer Care
248,No,0,Not Applicable,Poor Customer Service
249,No,0,Not Applicable,Poor Customer Service
250,Yes,1,Solved,Reasonable Price
251,No,0,Not Applicable,Poor Product Quality
252,Yes,1,No Information Available,Too many ads
253,No,0,Not Applicable,Too many ads
254,Yes,1,Unsolved,Poor Customer Service
255,Yes,1,Solved in Follow-up,No reason specified
256,No,0,Not Applicable,Poor Customer Service
257,No,0,Not Applicable,Too many ads
258,Yes,1,Solved in Follow-up,No reason specified
259,Yes,1,Solved,Quality Customer Care
260,No,0,Not Applicable,Poor Customer Service
261,No,0,Not Applicable,No reason specified
262,Yes,1,Solved,Poor Customer Service
263,Yes,1,Solved,Poor Customer Service
264,No,0,Not Applicable,Poor Customer Service
265,No,0,Not Applicable,Poor Website
266,Yes,1,No Information Available,Too many ads
267,Yes,1,Solved in Follow-up,No reason specified
268,Yes,1,Solved,Poor Website
269,No,0,Not Applicable,Poor Website
270,No,0,Not Applicable,Poor Customer Service
271,Yes,1,Solved,Poor Customer Service
272,Yes,1,Solved in Follow-up,Poor Website
273,Yes,1,Solved in Follow-up,Poor Customer Service
274,Yes,1,Solved in Follow-up,User Friendly Website
275,No,0,Not Applicable,Poor Website
276,Yes,1,Unsolved,No reason specified
277,Yes,1,Solved,Too many ads
278,No,0,Not Applicable,Quality Customer Care
279,Yes,1,Solved in Follow-up,Poor Website
280,No,0,Not Applicable,Too many ads
281,No,0,Not Applicable,Too many ads
282,Yes,1,Solved,Poor Product Quality
283,No,0,Not Applicable,Poor Customer Service
284,Yes,1,Solved,No reason specified
285,Yes,1,No Information Available,Poor Customer Service
286,No,0,Not Applicable,Poor Customer Service
287,No,0,Not Applicable,Poor Product Quality
288,No,0,Not Applicable,Poor Product Quality
289,Yes,1,Solved in Follow-up,Poor Customer Service
290,No,0,Not Applicable,Poor Customer Service
291,Yes,1,Solved,Poor Product Quality
292,No,0,Not Applicable,Poor Customer Service
293,No,0,Not Applicable,Too many ads
294,No,0,Not Applicable,Poor Product Quality
295,No,0,Not Applicable,Poor Product Quality
296,Yes,1,Solved in Follow-up,Poor Customer Service
297,Yes,1,Solved,No reason specified
298,No,0,Not Applicable,Poor Product Quality
299,No,0,Not Applicable,No reason specified
300,No,0,Not Applicable,Reasonable Price
301,No,0,Not Applicable,Poor Website
302,No,0,Not Applicable,Poor Customer Service
303,Yes,1,Unsolved,No reason specified
304,No,0,Not Applicable,Too many ads
305,No,0,Not Applicable,Poor Website
306,No,0,Not Applicable,Poor Website
307,No,0,Not Applicable,No reason specified
308,No,0,Not Applicable,Poor Customer Service
309,Yes,1,Solved,Poor Product Quality
310,No,0,Not Applicable,User Friendly Website
311,Yes,1,Solved,Too many ads
312,Yes,1,No Information Available,No reason specified
313,Yes,1,No Information Available,No reason specified
314,No,0,Not Applicable,No reason specified
315,No,0,Not Applicable,Reasonable Price
316,No,0,Not Applicable,Too many ads
317,No,0,Not Applicable,No reason specified
318,No,0,Not Applicable,Poor Website
319,Yes,1,Solved in Follow-up,No reason specified
320,Yes,1,Solved in Follow-up,Poor Product Quality
321,No,0,Not Applicable,No reason specified
322,Yes,1,Unsolved,No reason specified
323,Yes,1,No Information Available,No reason specified
324,Yes,1,No Information Available,Too many ads
325,No,0,Not Applicable,Too many ads
326,Yes,1,No Information Available,Poor Website
327,No,0,Not Applicable,No reason specified
328,Yes,1,Solved,No reason specified
329,Yes,1,Solved,Too many ads
330,Yes,1,Solved in Follow-up,Poor Website
331,Yes,1,Unsolved,Poor Customer Service
332,Yes,1,Solved,No reason specified
333,No,0,Not Applicable,Quality Customer Care
334,No,0,Not Applicable,Reasonable Price
335,Yes,1,No Information Available,Too many ads
336,No,0,Not Applicable,Too many ads
337,Yes,1,Unsolved,Poor Product Quality
338,Yes,1,Solved,Poor Product Quality
339,Yes,1,Unsolved,Poor Website
340,No,0,Not Applicable,Poor Customer Service
341,Yes,1,No Information Available,Poor Product Quality
342,Yes,1,Unsolved,Products always in Stock
343,No,0,Not Applicable,Poor Website
344,No,0,Not Applicable,Poor Customer Service
345,Yes,1,Solved,Poor Product Quality
346,Yes,1,Solved,Poor Customer Service
347,Yes,1,Unsolved,Poor Customer Service
348,No,0,Not Applicable,Poor Customer Service
349,No,0,Not Applicable,No reason specified
350,No,0,Not Applicable,Products always in Stock
351,Yes,1,Solved,No reason specified
352,Yes,1,Unsolved,User Friendly Website
353,Yes,1,No Information Available,Too many ads
354,No,0,Not Applicable,Too many ads
355,Yes,1,Solved in Follow-up,Too many ads
356,Yes,1,Solved,Poor Customer Service
357,No,0,Not Applicable,Poor Product Quality
358,Yes,1,Solved in Follow-up,Poor Customer Service
359,Yes,1,Solved,No reason specified
360,Yes,1,Solved,Quality Customer Care
361,Yes,1,No Information Available,Poor Product Quality
362,No,0,Not Applicable,Too many ads
363,Yes,1,Solved,Poor Customer Service
364,No,0,Not Applicable,Poor Product Quality
365,Yes,1,Solved,Poor Customer Service
366,No,0,Not Applicable,Poor Website
367,Yes,1,Unsolved,Too many ads
368,No,0,Not Applicable,No reason specified
369,Yes,1,Unsolved,Poor Customer Service
370,Yes,1,Solved,Poor Product Quality
371,Yes,1,No Information Available,Poor Product Quality
372,No,0,Not Applicable,Poor Product Quality
373,Yes,1,Solved,Quality Customer Care
374,No,0,Not Applicable,Reasonable Price
375,No,0,Not Applicable,Poor Product Quality
376,Yes,1,Solved in Follow-up,Too many ads
377,No,0,Not Applicable,No reason specified
378,No,0,Not Applicable,Poor Website
379,Yes,1,Solved,Poor Customer Service
380,No,0,Not Applicable,Poor Customer Service
381,Yes,1,Unsolved,Poor Product Quality
382,Yes,1,No Information Available,No reason specified
383,No,0,Not Applicable,Too many ads
384,Yes,1,Solved,Reasonable Price
385,No,0,Not Applicable,Reasonable Price
386,Yes,1,Solved in Follow-up,Poor Customer Service
387,No,0,Not Applicable,Poor Website
388,Yes,1,Solved,Products always in Stock
389,Yes,1,Unsolved,Poor Website
390,Yes,1,Solved in Follow-up,Poor Customer Service
391,No,0,Not Applicable,Poor Customer Service
392,Yes,1,No Information Available,Poor Customer Service
393,Yes,1,Solved in Follow-up,Poor Product Quality
394,Yes,1,Unsolved,Poor Product Quality
395,Yes,1,Unsolved,Poor Product Quality
396,Yes,1,Unsolved,User Friendly Website
397,Yes,1,Unsolved,No reason specified
398,Yes,1,No Information Available,Poor Website
399,Yes,1,Solved in Follow-up,No reason specified
400,Yes,1,No Information Available,No reason specified
401,No,0,Not Applicable,No reason specified
402,No,0,Not Applicable,Too many ads
403,Yes,1,Solved in Follow-up,Quality Customer Care
404,Yes,1,Solved in Follow-up,Poor Product Quality
405,Yes,1,Solved in Follow-up,No reason specified
406,Yes,1,Solved in Follow-up,Poor Customer Service
407,No,0,Not Applicable,Poor Product Quality
408,No,0,Not Applicable,Poor Product Quality
409,No,0,Not Applicable,Reasonable Price
410,No,0,Not Applicable,Poor Product Quality
411,Yes,1,Solved,Poor Website
412,No,0,Not Applicable,Poor Customer Service
413,No,0,Not Applicable,Too many ads
414,Yes,1,Solved in Follow-up,Poor Customer Service
415,Yes,1,Solved in Follow-up,Poor Product Quality
416,Yes,1,Solved in Follow-up,Poor Customer Service
417,Yes,1,Solved,Poor Product Quality
418,No,0,Not Applicable,Too many ads
419,No,0,Not Applicable,Reasonable Price
420,No,0,Not Applicable,Poor Product Quality
421,No,0,Not Applicable,Too many ads
422,Yes,1,No Information Available,Poor Product Quality
423,No,0,Not Applicable,Poor Website
424,No,0,Not Applicable,Poor Product Quality
425,No,0,Not Applicable,Poor Product Quality
426,No,0,Not Applicable,User Friendly Website
427,Yes,1,Unsolved,Too many ads
428,No,0,Not Applicable,Poor Website
429,No,0,Not Applicable,Poor Website
430,Yes,1,Unsolved,Too many ads
431,Yes,1,Solved,Poor Customer Service
432,Yes,1,Solved,Poor Product Quality
433,No,0,Not Applicable,Poor Customer Service
434,No,0,Not Applicable,No reason specified
435,Yes,1,Unsolved,Too many ads
436,No,0,Not Applicable,Products always in Stock
437,No,0,Not Applicable,Too many ads
438,Yes,1,Unsolved,Poor Product Quality
439,No,0,Not Applicable,Poor Customer Service
440,No,0,Not Applicable,No reason specified
441,No,0,Not Applicable,Poor Customer Service
442,No,0,Not Applicable,Products always in Stock
443,No,0,Not Applicable,Poor Website
444,No,0,Not Applicable,Too many ads
445,Yes,1,Solved in Follow-up,User Friendly Website
446,No,0,Not Applicable,Poor Customer Service
447,Yes,1,Solved,Poor Product Quality
448,No,0,Not Applicable,Poor Website
449,Yes,1,Solved in Follow-up,Poor Customer Service
450,Yes,1,No Information Available,Too many ads
451,No,0,Not Applicable,No reason specified
452,No,0,Not Applicable,Reasonable Price
453,Yes,1,Solved,Too many ads
454,Yes,1,Solved in Follow-up,Quality Customer Care
455,Yes,1,Solved,Too many ads
456,Yes,1,Solved in Follow-up,Too many ads
457,No,0,Not Applicable,Poor Website
458,Yes,1,No Information Available,Poor Product Quality
459,No,0,Not Applicable,No reason specified
460,No,0,Not Applicable,Poor Website
461,Yes,1,Solved in Follow-up,Poor Website
462,No,0,Not Applicable,Poor Website
463,Yes,1,Unsolved,No reason specified
464,Yes,1,Unsolved,Reasonable Price
465,No,0,Not Applicable,Too many ads
466,Yes,1,Solved in Follow-up,No reason specified
467,Yes,1,Unsolved,Poor Product Quality
468,No,0,Not Applicable,Poor Product Quality
469,No,0,Not Applicable,Too many ads
470,Yes,1,No Information Available,Poor Customer Service
471,No,0,Not Applicable,Reasonable Price
472,No,0,Not Applicable,Reasonable Price
473,Yes,1,Solved,No reason specified
474,No,0,Not Applicable,Poor Product Quality
475,No,0,Not Applicable,Products always in Stock
476,Yes,1,Solved,No reason specified
477,No,0,Not Applicable,Poor Website
478,No,0,Not Applicable,Poor Product Quality
479,Yes,1,No Information Available,Poor Website
480,No,0,Not Applicable,Poor Product Quality
481,No,0,Not Applicable,Poor Website
482,No,0,Not Applicable,Poor Website
483,Yes,1,No Information Available,No reason specified
484,Yes,1,Solved in Follow-up,No reason specified
485,Yes,1,Solved in Follow-up,Too many ads
486,No,0,Not Applicable,Poor Customer Service
487,No,0,Not Applicable,Poor Product Quality
488,Yes,1,No Information Available,Quality Customer Care
489,No,0,Not Applicable,Poor Customer Service
490,No,0,Not Applicable,Poor Product Quality
491,No,0,Not Applicable,User Friendly Website
492,No,0,Not Applicable,Too many ads
493,No,0,Not Applicable,Poor Product Quality
494,Yes,1,Solved,Reasonable Price
495,Yes,1,No Information Available,User Friendly Website
496,No,0,Not Applicable,Poor Customer Service
497,No,0,Not Applicable,User Friendly Website
498,Yes,1,Unsolved,Poor Customer Service
499,Yes,1,Solved in Follow-up,Poor Customer Service
500,Yes,1,Unsolved,Reasonable Price
501,Yes,1,Solved in Follow-up,No reason specified
502,No,0,Not Applicable,Too many ads
503,Yes,1,Solved in Follow-up,No reason specified
504,No,0,Not Applicable,Quality Customer Care
505,Yes,1,Solved,User Friendly Website
506,No,0,Not Applicable,Too many ads
507,No,0,Not Applicable,Too many ads
508,No,0,Not Applicable,Poor Website
509,No,0,Not Applicable,Too many ads
510,No,0,Not Applicable,Quality Customer Care
511,No,0,Not Applicable,Too many ads
512,Yes,1,Solved in Follow-up,Poor Website
513,No,0,Not Applicable,Quality Customer Care
514,No,0,Not Applicable,Poor Customer Service
515,Yes,1,Solved,Poor Customer Service
516,Yes,1,No Information Available,No reason specified
517,No,0,Not Applicable,Products always in Stock
518,No,0,Not Applicable,Poor Customer Service
519,No,0,Not Applicable,Reasonable Price
520,Yes,1,No Information Available,Poor Product Quality
521,Yes,1,Solved in Follow-up,No reason specified
522,Yes,1,Solved in Follow-up,Poor Product Quality
523,Yes,1,No Information Available,No reason specified
524,Yes,1,Unsolved,Poor Website
525,Yes,1,Unsolved,Poor Website
526,Yes,1,Solved in Follow-up,Poor Website
527,Yes,1,Solved,Poor Website
528,No,0,Not Applicable,Poor Website
529,Yes,1,Unsolved,Poor Website
530,Yes,1,No Information Available,Too many ads
531,Yes,1,Unsolved,Poor Customer Service
532,No,0,Not Applicable,Poor Product Quality
533,No,0,Not Applicable,Products always in Stock
534,No,0,Not Applicable,Poor Product Quality
535,No,0,Not Applicable,Poor Website
536,No,0,Not Applicable,Too many ads
537,No,0,Not Applicable,No reason specified
538,Yes,1,No Information Available,Poor Website
539,No,0,Not Applicable,Poor Product Quality
540,Yes,1,Solved in Follow-up,No reason specified
541,Yes,1,Solved in Follow-up,User Friendly Website
542,No,0,Not Applicable,Too many ads
543,No,0,Not Applicable,Too many ads
544,No,0,Not Applicable,Poor Product Quality
545,Yes,1,Solved,User Friendly Website
546,Yes,1,Unsolved,No reason specified
547,Yes,1,Solved in Follow-up,Products always in Stock
548,No,0,Not Applicable,Poor Customer Service
549,No,0,Not Applicable,Poor Website
550,No,0,Not Applicable,Too many ads
551,Yes,1,No Information Available,Too many ads
552,No,0,Not Applicable,Poor Customer Service
553,No,0,Not Applicable,Reasonable Price
554,Yes,1,Unsolved,Poor Product Quality
555,Yes,1,Solved in Follow-up,No reason specified
556,Yes,1,No Information Available,Poor Customer Service
557,No,0,Not Applicable,Products always in Stock
558,No,0,Not Applicable,Reasonable Price
559,Yes,1,Solved in Follow-up,Poor Customer Service
560,Yes,1,No Information Available,Too many ads
561,Yes,1,No Information Available,Too many ads
562,No,0,Not Applicable,No reason specified
563,Yes,1,Solved in Follow-up,User Friendly Website
564,No,0,Not Applicable,Poor Product Quality
565,Yes,1,Solved,Poor Product Quality
566,No,0,Not Applicable,Poor Customer Service
567,No,0,Not Applicable,Poor Website
568,No,0,Not Applicable,Poor Customer Service
569,No,0,Not Applicable,Poor Customer Service
570,Yes,1,Solved,Poor Customer Service
571,Yes,1,Unsolved,Poor Website
572,No,0,Not Applicable,Too many ads
573,Yes,1,Unsolved,Poor Product Quality
574,Yes,1,Solved,Poor Customer Service
575,No,0,Not Applicable,Too many ads
576,No,0,Not Applicable,Quality Customer Care
577,Yes,1,Unsolved,Too many ads
578,Yes,1,No Information Available,Poor Product Quality
579,No,0,Not Applicable,Poor Product Quality
580,No,0,Not Applicable,Too many ads
581,No,0,Not Applicable,Poor Product Quality
582,Yes,1,Unsolved,Poor Customer Service
583,Yes,1,Solved in Follow-up,Quality Customer Care
584,Yes,1,Solved in Follow-up,Poor Website
585,Yes,1,Unsolved,Poor Product Quality
586,Yes,1,No Information Available,No reason specified
587,Yes,1,Solved in Follow-up,Poor Product Quality
588,Yes,1,Solved in Follow-up,Poor Customer Service
589,No,0,Not Applicable,Poor Website
590,No,0,Not Applicable,Poor Product Quality
591,Yes,1,Unsolved,Quality Customer Care
592,Yes,1,No Information Available,Reasonable Price
593,Yes,1,No Information Available,No reason specified
594,Yes,1,Unsolved,Poor Website
595,Yes,1,No Information Available,Too many ads
596,No,0,Not Applicable,Poor Customer Service
597,Yes,1,Solved in Follow-up,Quality Customer Care
598,No,0,Not Applicable,Poor Website
599,No,0,Not Applicable,No reason specified
600,Yes,1,Solved,Poor Product Quality
601,No,0,Not Applicable,Poor Product Quality
602,Yes,1,No Information Available,No reason specified
603,Yes,1,Solved,No reason specified
604,No,0,Not Applicable,Too many ads
605,No,0,Not Applicable,Poor Customer Service
606,Yes,1,Solved,Too many ads
607,Yes,1,Solved,Too many ads
608,No,0,Not Applicable,No reason specified
609,No,0,Not Applicable,Poor Product Quality
610,Yes,1,No Information Available,Too many ads
611,Yes,1,Unsolved,No reason specified
612,Yes,1,Solved in Follow-up,Too many ads
613,No,0,Not Applicable,Poor Product Quality
614,Yes,1,Solved,Products always in Stock
615,No,0,Not Applicable,No reason specified
616,No,0,Not Applicable,No reason specified
617,Yes,1,Solved in Follow-up,User Friendly Website
618,No,0,Not Applicable,Poor Customer Service
619,No,0,Not Applicable,Poor Product Quality
620,Yes,1,Unsolved,Poor Product Quality
621,Yes,1,Solved in Follow-up,Products always in Stock
622,Yes,1,Solved in Follow-up,Reasonable Price
623,No,0,Not Applicable,Poor Website
624,No,0,Not Applicable,Poor Customer Service
625,Yes,1,Solved,Too many ads
626,No,0,Not Applicable,Reasonable Price
627,Yes,1,Solved in Follow-up,Poor Website
628,Yes,1,No Information Available,Reasonable Price
629,Yes,1,Solved in Follow-up,Poor Customer Service
630,No,0,Not Applicable,User Friendly Website
631,No,0,Not Applicable,Poor Product Quality
632,No,0,Not Applicable,Too many ads
633,No,0,Not Applicable,User Friendly Website
634,Yes,1,No Information Available,Products always in Stock
635,No,0,Not Applicable,Too many ads
636,No,0,Not Applicable,Poor Website
637,Yes,1,Solved,No reason specified
638,Yes,1,Solved,Reasonable Price
639,No,0,Not Applicable,Reasonable Price
640,Yes,1,Solved,Poor Product Quality
641,No,0,Not Applicable,Poor Customer Service
642,No,0,Not Applicable,Poor Website
643,No,0,Not Applicable,Poor Customer Service
644,No,0,Not Applicable,User Friendly Website
645,No,0,Not Applicable,Poor Website
646,No,0,Not Applicable,No reason specified
647,No,0,Not Applicable,Poor Customer Service
648,No,0,Not Applicable,Poor Website
649,Yes,1,Unsolved,Poor Website
650,Yes,1,Solved,Poor Product Quality
651,No,0,Not Applicable,Poor Customer Service
652,No,0,Not Applicable,Poor Website
653,Yes,1,Unsolved,Poor Customer Service
654,No,0,Not Applicable,Reasonable Price
655,No,0,Not Applicable,Poor Product Quality
656,No,0,Not Applicable,Products always in Stock
