customer_id,days_since_last_login,avg_time_spent,avg_transaction_value,avg_frequency_login_days,points_in_wallet,engagement_score
79,3.0,74.9,41612.23,28.0,1196.569315,3293.7693150000005
80,20.0,174.18,42060.89,24.0,684.69,4865.01
81,9.0,97.74,32347.7,27.0,698.25,3337.23
82,13.0,135.21,3561.26,17.0,698.25,2996.82
83,18.0,172.99,9044.15,8.0,763.14,2147.06
84,13.0,254.72,11345.66,7.0,572.41,2355.45
85,5.0,304.52,47658.52,29.0,699.19,9530.27
86,1.0,1316.52,2367.56,25.0,441.8365499,33354.8365499
87,13.0,264.54,40756.7,26.0,628.31,7506.35
88,12.0,191.41,25575.44,16.0,648.68,3711.24
89,13.0,135.09,48819.9,8.0,698.25,1778.97
90,12.0,123.37,13032.52,6.0,698.25,1438.47
91,9.0,355.31,20457.22,5.0,1233.769727,3010.319727
92,11.0,31.88,35414.54,20.0,788.67,1426.27
93,14.0,125.0,38802.24,28.0,698.25,4198.25
94,5.0,181.34,43554.96,1.0,728.69,910.03
95,8.0,960.62,13954.02,17.0,631.15,16961.690000000002
96,24.0,48.59,28071.04,16.0,533.05,1310.49
97,12.0,30.12,15027.14,12.0,698.25,1059.69
98,21.0,727.69,4919.72,13.0,758.83,10218.8
99,3.0,419.51,14661.42,16.0,404.4897584,7116.6497584
100,8.0,899.04,49614.88,23.0,758.69,21436.61
101,11.0,293.42,2521.3,16.0,964.8409708,5659.5609708
102,10.0,934.3542198,11955.94,24.0,630.8,23055.3012752
103,4.0,826.51,14877.24,25.0,522.61,21185.36
104,21.0,115.41,41156.81,27.0,741.02,3857.09
105,7.0,481.45,4207.45,28.0,776.36,14256.96
106,14.0,148.95,2364.45,16.0,634.51,3017.71
107,21.0,357.45,29825.45,9.0,665.63,3882.68
108,21.0,1386.232857,9454.17,19.0,778.27,27116.694283
109,15.0,96.14,11995.93,19.0,207.169769,2033.829769
110,10.0,428.05,6325.08,28.0,80.09369313,12065.49369313
111,14.0,42.48,16098.94,21.0,766.85,1658.9299999999998
112,24.0,33.91,23226.43,7.0,762.48,999.85
113,8.0,1060.527979,10990.31,16.0,271.7143813,17240.1620453
114,13.0,1156.431904,32302.27,24.0,520.33,28274.695696
115,7.0,187.91,17002.23,11.0,700.11,2767.12
116,10.0,284.09,48305.86,16.0,730.05,5275.49
117,3.0,174.18,40667.27,19.0,809.83,4119.25
118,20.0,174.18,16186.76,8.0,633.22,2026.66
119,12.0,109.76,46102.66,8.0,783.03,1661.11
120,13.0,56.63,10171.97,23.0,757.61,2060.1
121,21.0,81.15,46109.6,17.0,270.467656,1650.0176560000002
122,10.0,1195.732666,31504.62,10.0,1207.253729,13164.580389
123,7.0,99.95,22865.42,21.0,698.25,2797.2000000000003
124,21.0,287.39,44809.68,27.0,629.6,8389.13
125,13.0,892.02,36394.44,26.0,630.98,23823.5
126,7.0,115.29,13019.31,14.0,164.0703482,1778.1303482000003
127,5.0,185.05,43833.54,15.0,743.57,3519.32
128,16.0,30.16,33886.44,5.0,670.11,820.9100000000001
129,17.0,219.13,70247.76,3.0,1293.169381,1950.559381
130,8.0,400.35,30248.45,9.0,660.25,4263.4
131,20.0,49.24,39981.97,12.0,648.6,1239.48
132,16.0,590.85,21919.13,14.0,610.24,8882.14
133,22.0,1142.148835,34918.7,6.0,699.08,7551.97301
134,16.0,138.33,8025.77,29.0,1016.785713,5028.355713
135,7.0,516.46,45544.33,29.0,780.96,15758.3
136,19.0,211.19,2554.48,10.0,622.45,2734.3500000000004
137,19.0,942.84,49037.16,6.0,698.25,6355.29
138,10.0,267.45,32922.76,8.0,701.45,2841.05
139,22.0,34.37,3862.41,10.0,602.86,946.56
140,19.0,213.34,8860.9,6.0,671.74,1951.78
141,23.0,50.48,8944.54,25.0,626.96,1888.96
142,13.0,1044.243494,26060.01,22.0,684.88,23658.236868000004
143,13.0,628.79,33199.52,22.0,777.94,14611.32
144,17.0,56.58,41050.72,15.0,698.25,1546.9499999999998
145,11.0,172.07,23587.32,28.0,326.1310709,5144.0910709
146,6.0,44.99,3087.16,8.0,750.95,1110.87
147,11.0,144.33,54420.14,5.0,698.25,1419.9
148,7.0,787.74,20129.88,12.0,698.25,10151.13
149,26.0,30.49,37139.89,20.0,627.26,1237.06
150,8.0,400.21,33996.1,38.47159929,697.6,16094.3187518509
151,13.0,103.36,39610.89,10.0,653.12,1686.7199999999998
152,8.0,58.15,27995.24,18.0,698.25,1744.95
153,10.0,862.2,35895.98,21.0,698.25,18804.45
154,9.0,412.22,1313.11,18.0,733.13,8153.090000000001
155,19.0,222.69,18297.21,2.0,774.47,1219.85
156,16.0,283.85,3888.65,18.0,959.92041,6069.22041
157,17.0,136.19,6965.48,5.0,1181.873763,1862.823763
158,5.0,32.29,63097.55,16.0,780.09,1296.73
159,12.0,145.45,48500.63,11.0,727.97,2327.92
160,10.0,313.84,23211.35,15.0,573.16,5280.759999999999
161,11.0,254.72,28425.26,11.0,789.3,3591.2200000000003
162,9.0,206.56,13037.39,13.0,616.68,3301.96
163,21.0,51.75,27564.76,24.0,660.59,1902.59
164,10.0,117.9,49537.82,7.0,528.08,1353.38
165,2.0,484.45,83453.57,14.0,788.97,7571.27
166,6.0,32.89,16340.59,16.0,698.25,1224.49
167,15.0,77.18,49448.05,5.0,605.23,991.13
168,8.0,60.77,45095.33,1.234738899,692.59,767.62508289223
169,15.0,197.85,42084.72,18.0,710.7,4272.0
170,11.0,502.4,4714.82,24.0,472.8025704,12530.402570399998
171,6.0,33.96,6175.77,22.0,545.14,1292.26
172,13.0,617.09,33226.66,17.0,1053.420685,11543.950685
173,9.0,34.93,42965.53,29.0,630.68,1643.65
174,20.0,198.19,20710.0,10.0,698.25,2680.15
175,11.0,317.25,17951.87,17.0,753.97,6147.22
176,5.0,876.87,41927.46,17.0,636.3,15543.09
177,8.0,133.36,21896.63,13.0,644.25,2377.9300000000003
178,8.0,522.81,27264.0,11.0,556.79,6307.7
179,10.0,33.34,46392.24,24.0,582.93,1383.09
180,5.0,84.05,10423.83,29.0,1044.81538,3482.26538
181,19.0,69.22,14117.54,12.0,523.54,1354.1799999999998
182,14.0,32.16,67458.29,16.0,764.62,1279.1799999999998
183,20.0,692.73,18404.11,19.0,1072.745128,14234.615128
184,12.0,261.76,15786.32,16.0,704.13,4892.29
185,14.0,38.65,1225.14,9.0,700.07,1047.92
186,16.0,182.16,43782.88,16.0,761.49,3676.05
187,20.0,31.98,14432.03,24.0,730.04,1497.56
188,12.0,283.79,38527.24,26.0,760.53,8139.070000000001
189,9.0,1185.91225,29872.64,8.0,744.29,10231.588
190,17.0,329.16,37811.56,27.0,757.14,9644.46
191,7.0,700.63,26571.36,13.0,738.84,9847.03
192,3.0,166.57,45964.8,17.0,630.0,3461.69
193,12.0,126.05,43632.02,16.0,594.51,2611.31
194,11.0,428.35,26483.73,14.0,713.42,6710.320000000001
195,16.0,148.06,15456.63,29.0,984.3321162,5278.0721162
196,15.0,196.56,1246.57,22.0,766.76,5091.08
197,10.0,359.98,38699.34,29.0,560.14,10999.56
198,22.0,32.47,25468.76,16.0,298.868694,818.388694
199,22.0,177.73,35286.1,16.0,709.01,3552.69
200,9.0,493.22,20294.0,23.0,698.25,12042.31
201,4.0,316.14,13516.16,20.0,659.85,6982.65
202,19.0,107.18,16027.34,4.0,1059.640736,1488.360736
203,22.0,108.2,2998.4,26.0,678.14,3491.34
204,11.0,174.18,14865.87,25.0,698.25,5052.75
205,5.0,407.97,19138.74,12.0,698.25,5593.89
206,6.0,308.28,38497.78,21.0,792.37,7266.249999999999
207,7.0,67.78,14175.2,16.0,464.501175,1548.981175
208,5.0,732.71,47547.72,15.0,936.3622801,11927.012280100002
209,22.0,188.96,40428.78,23.0,614.25,4960.33
210,21.0,32.82,46250.9,2.0,779.89,845.53
211,17.0,1099.5,95625.4,13.0,698.25,14991.75
212,15.0,547.87,36383.39,4.0,763.15,2954.63
213,14.0,80.4,15214.2,16.0,761.95,2048.3500000000004
214,8.0,179.84,39667.91,10.0,698.25,2496.65
215,10.0,731.24,36981.7,26.0,774.16,19786.4
216,13.0,49.19,35209.09,10.0,799.43,1291.33
217,15.0,30.66,15079.52,23.0,469.5653778,1174.7453778
218,7.0,34.49,31418.7,16.0,770.66,1322.5
219,17.0,117.11,29114.92,16.0,521.7,2395.46
220,13.0,93.76,28456.92,5.0,704.31,1173.11
221,13.0,121.38,13374.01,12.0,693.0,2149.56
222,10.0,445.01,37220.97,16.0,550.13,7670.29
223,10.0,628.79,40093.14,55.01616857,622.06,35215.676635130294
224,11.0,31.45,18606.73,24.0,621.94,1376.74
225,24.0,38.88,41019.89,19.0,750.83,1489.5500000000002
226,12.0,85.52,10636.13,5.0,730.02,1157.62
227,22.0,1097.82189,27380.8,27.0,799.91,30441.10103
228,8.0,322.3,14310.09,11.0,559.2451349,4104.5451349
229,13.0,31.2,37295.99,25.0,1196.60075,1976.60075
230,11.0,38.63,23832.38,16.0,698.25,1316.33
231,12.0,291.94,97643.81,5.0,713.99,2173.69
232,13.0,343.13,32605.84,16.0,335.2620818,5825.3420818
233,19.0,180.37,21460.83,27.0,240.158193,5110.148193
234,23.0,31.81,36494.51,24.0,622.69,1386.13
235,12.0,31.86,21842.03,19.0,743.44,1348.7800000000002
236,5.0,428.81,40698.54,9.0,600.39,4459.68
237,17.0,97.85,31574.54,28.0,698.25,3438.05
238,19.0,1223.769011,47756.12,15.0,631.09,18987.625165
239,15.0,1090.92,12483.66,2.0,705.75,2887.59
240,13.0,402.05,20411.69,15.0,517.3513913,6548.1013913
241,2.0,33.18,24394.24,16.0,1042.087064,1572.967064
242,9.0,54.08,19078.81,17.0,752.88,1672.24
243,9.0,174.18,36532.11,16.0,621.72,3408.6000000000004
244,5.0,106.24,47511.49,11.0,559.8,1728.4399999999998
245,15.0,46.22,35937.37,6.0,698.25,975.57
246,15.0,45.45,47218.23,29.0,632.14,1950.19
247,2.0,67.48,47619.23,10.0,754.69,1429.4900000000002
248,2.0,226.47,27477.44,16.0,748.61,4372.13
249,9.0,714.55,10779.16,23.0,734.08,17168.73
250,16.0,125.89,77291.02,1.0,1085.770601,1211.660601
251,17.0,112.9,20038.77,12.0,274.3235842,1629.1235842
252,19.0,105.91,46063.59,6.0,761.41,1396.87
253,9.0,154.43,11333.18,18.0,740.91,3520.65
254,10.0,589.12,36545.91,12.0,680.88,7750.320000000001
255,17.0,174.48,40594.31,16.0,615.71,3407.39
256,16.0,43.58,23397.98,8.0,759.48,1108.12
257,9.0,32.91,11023.03,16.0,208.9039452,735.4639451999999
258,20.0,100.33,34614.42,15.0,642.93,2147.88
259,11.0,449.03,33430.37,14.0,435.9525483,6722.3725483
260,7.0,43.78,17353.48,21.0,282.3638793,1201.7438793
261,13.0,188.21,7375.39,16.0,664.98,3676.34
262,10.0,32.13,35792.72,27.0,698.25,1565.7600000000002
263,19.0,154.58,3612.98,24.0,698.25,4408.17
264,11.0,145.59,13518.27,12.0,740.22,2487.3
265,14.0,233.72,15596.42,14.0,780.92,4053.0
266,15.0,304.09,32189.63,7.0,549.41,2678.0399999999995
267,14.0,163.99,27114.49,29.0,583.06,5338.77
268,8.0,255.4,13608.16,16.0,524.52,4610.92
269,12.0,488.0,20417.72,10.0,656.21,5536.21
270,13.0,39.62,46139.37,16.0,673.05,1306.9699999999998
271,17.0,110.59,12478.19,21.0,671.23,2993.62
272,6.0,1600.12,15610.96,13.0,725.74,21527.3
273,9.0,54.12,24610.29,10.0,653.38,1194.58
274,6.0,633.62,58077.98,7.0,796.0,5231.34
275,9.0,55.29,12574.16,18.0,633.64,1628.86
276,26.0,936.34,30998.94,29.0,778.24,27932.1
277,6.0,352.25,31444.17,10.0,668.44,4190.9400000000005
278,18.0,128.93,66961.7,19.0,765.97,3215.6400000000003
279,20.0,38.56,16717.72,28.0,550.1900866,1629.8700866
280,7.0,220.07,45054.8,12.0,623.93,3264.77
281,21.0,31.66,5643.14,11.0,711.22,1059.48
282,9.0,1053.12,15799.78,28.0,945.4319714,30432.7919714
283,11.0,263.58,34046.4,9.0,649.88,3022.1
284,12.0,282.88,40612.89,28.0,698.25,8618.89
285,14.0,142.87,43660.25,29.0,580.25,4723.4800000000005
286,12.0,174.18,47001.28,8.0,698.25,2091.69
287,15.0,120.5,4165.97,17.0,694.31,2742.81
288,20.0,103.42,36445.77,16.0,663.11,2317.83
289,7.0,248.72,33879.22,26.0,713.39,7180.110000000001
290,13.0,58.73,39995.8,28.0,708.74,2353.18
291,10.0,129.09,25893.09,19.0,732.65,3185.36
292,2.0,392.09,13706.85,7.0,1176.200422,3920.830422
293,9.0,164.87,49628.7,15.0,188.1924469,2661.2424469
294,3.0,280.47,25452.4,18.0,698.25,5746.710000000001
295,12.0,126.63,44732.67,20.0,698.25,3230.85
296,15.0,850.5036092,17373.46,13.0,657.12,11713.666919600002
297,11.0,376.93,31089.9,25.0,1071.824763,10495.074763
298,13.0,619.2,44015.54,9.0,826.4263584,6399.2263584
299,5.0,165.92,46167.97,23.0,661.83,4477.99
300,15.0,202.73,23566.49,3.0,698.25,1306.44
301,13.0,641.9,11203.68,16.0,614.1,10884.5
302,14.0,766.04,44858.07,18.0,689.99,14478.71
303,23.0,1000.987122,45893.91,14.0,633.41,14647.229708
304,7.0,792.59,44496.31,19.0,741.71,15800.920000000002
305,12.0,629.37,23602.1,11.0,742.41,7665.48
306,22.0,56.28,6124.94,15.0,561.78,1405.98
307,20.0,200.46,40236.57,21.0,647.61,4857.27
308,16.0,1262.444589,12163.94,11.0,677.29,14564.180479
309,14.0,299.27,7015.77,20.0,698.25,6683.65
310,20.0,260.92,70639.99,16.0,760.54,4935.26
311,15.0,30.58,38036.67,29.0,636.43,1523.25
312,16.0,34.61,45824.46,12.0,698.25,1113.57
313,11.0,177.42,6280.96,20.0,578.69,4127.09
314,15.0,33.77,32673.05,21.0,529.02,1238.19
315,15.0,33.5,50085.74,4.0,1242.200999,1376.200999
316,8.0,62.53,23123.43,22.0,524.34,1900.0
317,15.0,583.96,38477.8,13.0,608.37,8199.85
318,9.0,315.37,28202.86,19.0,778.62,6770.65
319,14.0,146.24,2203.18,15.0,301.5444844,2495.1444844
320,20.0,103.51,21574.0,5.0,414.2461508,931.7961508
321,19.0,174.18,1808.39,22.0,698.25,4530.21
322,12.0,142.34,38249.21,23.0,1078.760958,4352.5809580000005
323,4.0,174.18,9508.56,20.0,165.4194561,3649.0194561
324,14.0,86.25,31792.97,9.0,1098.600851,1874.850851
325,13.0,78.93,49093.95,28.0,791.99,3002.03
326,8.0,122.17,12440.72,5.0,677.35,1288.2
327,6.0,1482.53,13626.01,23.0,555.38,34653.57
328,1.0,385.72,18512.96,16.0,557.61,6729.13
329,14.0,91.7,23406.99,16.0,668.48,2135.6800000000003
330,24.0,31.84,11412.83,53.5713734,703.86,2409.572529056
331,12.0,30.36,46548.07,15.0,723.0,1178.4
332,13.0,32.62,47228.58,12.0,698.25,1089.69
333,4.0,150.97,85750.12,6.0,785.69,1691.51
334,13.0,94.2,56741.77,11.0,710.79,1746.99
335,2.0,163.43,5843.93,5.0,754.32,1571.4700000000005
336,16.0,296.05,9945.0,16.0,638.91,5375.71
337,8.0,95.89,27327.38,15.0,754.13,2192.48
338,13.0,134.41,34007.44,12.0,420.2522345,2033.1722345
339,21.0,34.97,14545.9,8.0,360.5824643,640.3424643000001
340,3.0,349.92,25966.98,9.0,659.95,3809.230000000001
341,6.0,176.66,29048.04,21.0,698.25,4408.110000000001
342,20.0,42.03,33959.9,8.0,831.1,1167.34
343,13.0,47.22,15403.3,19.0,672.15,1569.33
344,10.0,446.49,21585.94,16.0,698.25,7842.09
345,9.0,502.02,28024.35,8.0,1161.057661,5177.217661
346,5.0,261.9,41808.02,16.0,698.25,4888.65
347,13.0,105.74,25686.23,16.0,622.96,2314.8
348,23.0,59.08,36440.91,15.0,1638.27558,2524.47558
349,17.0,200.63,21330.47,22.0,661.3,5075.16
350,10.0,206.96,44254.12,12.0,698.25,3181.77
351,17.0,162.46,3929.57,5.0,698.25,1510.5500000000002
352,14.0,1431.646546,56989.08,7.0,727.58,10749.105822
353,8.0,32.25,8879.1,24.0,796.24,1570.24
354,13.0,104.42,6656.53,5.0,743.13,1265.23
355,21.0,144.85,12962.42,26.0,761.04,4527.139999999999
356,18.0,33.57,5110.81,29.0,698.25,1671.78
357,21.0,260.08,15097.46,11.0,773.63,3634.51
358,13.0,80.09,32437.84,9.0,698.25,1419.06
359,13.0,174.18,2042.49,21.0,698.25,4356.030000000001
360,16.0,401.93,60639.1,11.0,797.27,5218.5
361,9.0,76.11,28870.14,28.0,683.65,2814.73
362,15.0,81.06,6382.96,24.0,608.84,2554.28
363,10.0,1110.189531,49615.92,24.0,786.64,27431.188744
364,8.0,305.27,28019.96,7.0,608.54,2745.43
365,24.0,563.3,38221.0,10.0,1296.669481,6929.669481
366,7.0,237.14,5061.41,10.0,989.9731931,3361.3731931
367,2.0,58.85,46895.72,16.0,792.09,1733.69
368,14.0,31.26,48481.64,17.0,717.55,1248.97
369,6.0,274.91,43598.7,5.0,698.25,2072.8
370,16.0,1299.679599,22290.86,28.0,638.96,37029.988772
371,13.0,150.91,17129.53,15.0,639.82,2903.4700000000003
372,9.0,271.76,26424.38,14.0,756.13,4560.77
373,3.0,733.67,14436.07,6.0,297.403945,4699.423945
374,13.0,1221.822286,86842.83,13.0,710.92,16594.609718
375,2.0,949.86,33079.95,25.0,419.1161383,24165.6161383
376,4.0,215.75,33862.45,16.0,206.027629,3658.027629
377,15.0,479.45,25392.94,11.0,587.23,5861.18
378,2.0,352.61,1816.1,5.0,733.6,2496.65
379,13.0,86.27,37451.91,23.0,676.89,2661.1
380,19.0,43.5,14431.86,27.0,686.86,1861.36
381,11.0,552.61,20308.23,28.0,615.9,16088.98
382,20.0,393.41,15462.29,8.0,747.11,3894.39
383,5.0,95.02,11757.89,6.0,750.89,1321.01
384,25.0,50.63,97688.49,17.0,292.5686807,1153.2786807
385,12.0,34.08,34687.38,15.0,717.96,1229.16
386,16.0,34.82,33188.16,27.0,367.6930211,1307.8330211
387,16.0,1336.2697,36326.75,16.0,788.99,22169.305200000003
388,6.0,201.06,8436.67,6.0,1071.243322,2277.603322
389,16.0,348.67,38427.15,29.0,700.81,10812.24
390,14.0,42.78,43391.4,28.0,436.0883338,1633.9283338
391,21.0,33.37,36894.82,18.0,701.81,1302.4699999999998
392,20.0,222.09,19368.12,45.3190613,629.83,10694.740324117
393,9.0,88.82,5497.89,12.0,698.25,1764.09
394,16.0,101.56,5132.55,16.0,621.96,2246.92
395,9.0,37.59,28432.23,29.0,631.14,1721.25
396,2.0,138.61,68051.66,16.0,846.33,3064.09
397,9.0,47.81,12144.94,16.0,690.32,1455.2800000000002
398,17.0,33.88,43649.07,11.0,777.37,1150.05
399,7.0,117.73,31562.08,7.0,698.25,1522.36
400,3.0,327.42,1063.13,8.0,755.68,3375.04
401,8.0,417.99,37839.02,16.0,654.7996673,7342.6396673
402,4.0,80.78,19793.69,18.0,676.01,2130.05
403,9.0,96.65,24717.58,35.52947394,746.23,4180.153656301
404,13.0,46.04,19090.42,12.0,581.33,1133.81
405,16.0,119.69,48054.16,20.0,606.57,3000.3700000000003
406,15.0,156.18,14801.69,12.0,645.38,2519.54
407,19.0,58.11,7232.66,8.0,673.32,1138.2
408,19.0,33.19,44650.25,17.0,698.25,1262.48
409,13.0,601.21,44824.66,5.0,771.61,3777.66
410,5.0,174.18,14084.16,13.0,687.16,2951.5
411,10.0,495.46,26812.57,17.0,538.4,8961.22
412,15.0,510.73,20038.13,7.0,622.29,4197.4
413,17.0,378.32,6289.63,29.0,717.0,11688.28
414,12.0,191.47,12992.9,7.0,698.25,2038.54
415,4.0,247.62,17192.01,12.0,614.6,3586.04
416,13.0,137.76,37000.31,19.0,751.89,3369.3299999999995
417,15.0,826.23,7263.2,15.0,741.78,13135.23
418,14.0,1086.01,37893.72,17.0,602.01,19064.18
419,17.0,512.86,84959.24,19.0,759.74,10504.08
420,12.0,523.17,48510.75,12.0,1203.6933,7481.733299999999
421,13.0,32.94,2257.48,11.0,937.5606171,1299.9006171
422,23.0,388.92,46687.09,20.0,951.6893163,8730.0893163
423,18.0,64.35,32459.02,18.0,626.88,1785.1799999999998
424,8.0,437.82,2361.57,6.0,720.59,3347.51
425,15.0,425.87,20552.83,6.0,734.31,3289.53
426,12.0,400.2,32446.0,10.0,839.0,4841.0
427,20.0,34.14,26613.52,25.0,708.39,1561.89
428,10.0,30.91,32503.71,11.0,552.16,892.17
429,15.0,186.4,26284.13,17.0,656.21,3825.01
430,13.0,83.02,32966.01,22.0,698.25,2524.69
431,5.0,1721.26,28781.74,13.0,512.17,22888.55
432,10.0,747.05,29414.81,16.0,683.08,12635.88
433,11.0,1228.143729,2173.69,17.0,969.1398301,21847.5832231
434,12.0,652.19,26519.82,16.0,1466.43648,11901.47648
435,11.0,130.05,17513.69,29.0,535.24,4306.6900000000005
436,7.0,185.79,53225.55,5.0,698.25,1627.1999999999998
437,13.0,32.83,49711.44,26.0,485.0209578,1338.6009577999998
438,12.0,529.07,6325.37,23.0,744.6,12913.21
439,7.0,47.18,2242.41,14.0,667.44,1327.96
440,4.0,507.58,34469.26,13.0,651.69,7250.23
441,12.0,322.92,18353.67,19.0,534.9,6670.38
442,13.0,96.76,31096.42,16.0,794.75,2342.91
443,13.0,171.79,16554.99,12.0,777.01,2838.49
444,11.0,249.36,28951.39,18.0,768.86,5257.34
445,3.0,2732.7,79718.85,5.0,824.45,14487.95
446,14.0,213.38,14581.71,18.0,713.31,4554.15
447,13.0,68.77,2187.4,16.0,702.95,1803.27
448,13.0,77.19,24873.42,20.0,696.24,2240.04
449,3.0,174.18,30354.78,13.0,1030.541941,3294.881941
450,21.0,30.48,1911.99,22.0,745.75,1416.31
451,21.0,186.03,2353.19,22.0,675.41,4768.07
452,20.0,257.51,26394.03,11.0,792.01,3624.62
453,21.0,40.73,3069.27,15.0,658.13,1269.08
454,7.0,280.15,61874.77,4.0,774.36,1894.96
455,20.0,69.38,1062.77,24.0,699.24,2364.36
456,13.0,393.4,46194.84,46.43606503,330.5707099,18598.518692702
457,13.0,66.03,46020.2,29.0,529.86,2444.73
458,24.0,31.93,24009.29,6.0,618.05,809.6299999999999
459,23.0,125.03,10994.22,20.0,1147.987633,3648.587633
460,21.0,228.5,9071.32,8.0,703.79,2531.79
461,21.0,36.51,23137.87,11.0,698.25,1099.86
462,4.0,406.37,14837.87,19.0,742.51,8463.539999999999
463,7.0,36.13,21281.1,16.0,719.2,1297.2800000000002
464,14.0,160.61,90796.23,3.0,823.46,1305.29
465,14.0,247.55,40684.25,20.0,701.81,5652.81
466,12.0,164.74,41722.86,22.0,728.0,4352.280000000001
467,21.0,49.24,49946.91,18.0,694.15,1580.47
468,18.0,55.0,8502.47,22.0,786.6,1996.6
469,15.0,88.48,33724.01,22.0,941.4586065,2888.0186065000003
470,6.0,94.98,29217.32,13.0,702.21,1936.95
471,1.0,215.35,65188.06,8.0,778.26,2501.06
472,10.0,308.34,96015.22,4.0,815.96,2049.32
473,13.0,328.08,30949.96,20.0,767.25,7328.849999999999
