customer_id,age,gender,region_category,membership_category,membership_grouped
93,62,F,City,Basic Membership,Basic
94,24,F,Town,Premium Membership,Paid
95,48,M,City,No Membership,No Membership
96,56,M,Village,Basic Membership,Basic
97,17,M,Town,Basic Membership,Basic
98,23,F,Town,Gold Membership,Paid
99,42,F,City,No Membership,No Membership
100,59,M,Village,Gold Membership,Paid
101,18,M,Town,Basic Membership,Basic
102,23,M,City,Gold Membership,Paid
103,52,F,City,Basic Membership,Basic
104,49,F,Town,Premium Membership,Paid
105,30,M,Town,Premium Membership,Paid
106,31,F,Town,Basic Membership,Basic
107,27,M,City,Silver Membership,Paid
108,56,M,City,Gold Membership,Paid
109,11,M,Town,Silver Membership,Paid
110,31,F,Town,Silver Membership,Paid
111,29,M,Town,Premium Membership,Paid
112,31,F,City,Silver Membership,Paid
113,11,F,Town,Basic Membership,Basic
114,14,M,Town,Basic Membership,Basic
115,26,M,City,Silver Membership,Paid
116,62,M,Town,Premium Membership,Paid
117,51,M,Village,Platinum Membership,Paid
118,43,F,Village,Silver Membership,Paid
119,23,M,Town,Gold Membership,Paid
120,57,M,Town,Gold Membership,Paid
121,17,M,Town,Gold Membership,Paid
122,42,M,City,Platinum Membership,Paid
123,21,F,City,Silver Membership,Paid
124,46,M,Village,No Membership,No Membership
125,41,M,Town,Silver Membership,Paid
126,61,M,City,Basic Membership,Basic
127,15,F,City,Premium Membership,Paid
128,56,M,Town,Gold Membership,Paid
129,35,M,City,Gold Membership,Paid
130,57,M,Town,No Membership,No Membership
131,64,M,Town,No Membership,No Membership
132,21,M,Town,Basic Membership,Basic
133,53,F,Town,Gold Membership,Paid
134,26,M,Village,No Membership,No Membership
135,61,M,Town,Gold Membership,Paid
136,30,M,Town,No Membership,No Membership
137,38,M,Town,Gold Membership,Paid
138,35,F,City,Gold Membership,Paid
139,61,F,Town,No Membership,No Membership
140,53,M,City,Gold Membership,Paid
141,55,M,Town,No Membership,No Membership
142,23,M,City,Basic Membership,Basic
143,11,M,Town,Premium Membership,Paid
144,22,M,Town,No Membership,No Membership
145,37,M,Village,Silver Membership,Paid
146,31,M,Town,Platinum Membership,Paid
147,20,M,City,Platinum Membership,Paid
148,53,M,City,Premium Membership,Paid
149,38,F,City,Basic Membership,Basic
150,59,F,City,Basic Membership,Basic
151,50,F,Town,Gold Membership,Paid
152,64,F,City,Silver Membership,Paid
153,27,F,Town,Gold Membership,Paid
154,12,F,Town,Gold Membership,Paid
155,29,F,Village,Premium Membership,Paid
156,39,F,City,Silver Membership,Paid
157,37,F,City,Premium Membership,Paid
158,37,F,Town,Gold Membership,Paid
159,21,M,Town,Silver Membership,Paid
160,64,F,Town,Basic Membership,Basic
161,56,F,Town,Silver Membership,Paid
162,37,F,Town,Basic Membership,Basic
163,55,M,Town,Basic Membership,Basic
164,18,M,City,Basic Membership,Basic
165,27,F,Town,Silver Membership,Paid
166,57,M,Town,Premium Membership,Paid
167,48,F,City,Basic Membership,Basic
168,54,M,Town,Basic Membership,Basic
169,52,F,Village,Gold Membership,Paid
170,33,F,Town,Platinum Membership,Paid
171,35,M,Town,No Membership,No Membership
172,42,M,City,Platinum Membership,Paid
173,39,F,City,Gold Membership,Paid
174,50,F,City,Gold Membership,Paid
175,29,M,City,Premium Membership,Paid
176,47,M,Town,No Membership,No Membership
177,16,F,City,Gold Membership,Paid
178,48,M,Town,Basic Membership,Basic
179,14,F,City,No Membership,No Membership
180,13,F,Village,Premium Membership,Paid
181,56,F,Town,No Membership,No Membership
182,64,F,City,Silver Membership,Paid
183,47,M,Town,No Membership,No Membership
184,46,F,Town,Premium Membership,Paid
185,45,M,Town,Premium Membership,Paid
186,60,F,Town,Premium Membership,Paid
187,19,F,Town,Premium Membership,Paid
188,21,F,Town,Silver Membership,Paid
189,60,M,City,Silver Membership,Paid
190,32,M,Town,Gold Membership,Paid
191,36,F,Town,Premium Membership,Paid
192,52,F,Town,Basic Membership,Basic
193,39,M,Town,No Membership,No Membership
194,42,F,City,Silver Membership,Paid
195,56,M,Town,Silver Membership,Paid
196,17,F,Town,Gold Membership,Paid
197,56,M,Town,No Membership,No Membership
198,33,F,City,Premium Membership,Paid
199,33,F,City,Gold Membership,Paid
200,41,M,Town,Basic Membership,Basic
201,42,F,City,Basic Membership,Basic
202,43,M,Town,Gold Membership,Paid
203,12,F,City,No Membership,No Membership
204,23,F,Village,Basic Membership,Basic
205,14,F,Town,Gold Membership,Paid
206,62,F,Town,Gold Membership,Paid
207,60,M,Town,Gold Membership,Paid
208,56,M,Town,Basic Membership,Basic
209,41,M,Town,Gold Membership,Paid
210,18,F,Town,Gold Membership,Paid
211,63,M,Village,Gold Membership,Paid
212,23,M,City,Gold Membership,Paid
213,17,M,City,Platinum Membership,Paid
214,42,F,City,Gold Membership,Paid
215,31,F,City,Silver Membership,Paid
216,12,F,Town,Gold Membership,Paid
217,63,M,Town,Platinum Membership,Paid
218,16,F,Town,Premium Membership,Paid
219,38,M,Town,Basic Membership,Basic
220,15,M,City,Platinum Membership,Paid
221,30,M,City,No Membership,No Membership
222,64,M,Village,No Membership,No Membership
223,59,M,Town,No Membership,No Membership
224,23,M,City,No Membership,No Membership
225,32,F,Town,Silver Membership,Paid
226,11,M,Town,Premium Membership,Paid
227,42,M,City,Platinum Membership,Paid
228,12,M,Town,No Membership,No Membership
229,45,M,City,Premium Membership,Paid
230,19,F,Town,Platinum Membership,Paid
231,55,F,City,Gold Membership,Paid
232,16,F,City,Silver Membership,Paid
233,56,M,City,Platinum Membership,Paid
234,24,F,Town,Silver Membership,Paid
235,24,F,Town,Platinum Membership,Paid
236,53,M,Town,Basic Membership,Basic
237,12,F,Town,No Membership,No Membership
238,58,M,Town,Basic Membership,Basic
239,63,F,Village,Premium Membership,Paid
240,62,M,Town,Gold Membership,Paid
241,48,F,Village,Platinum Membership,Paid
242,60,M,Town,Gold Membership,Paid
243,64,F,City,Basic Membership,Basic
244,11,F,Town,Basic Membership,Basic
245,39,M,City,No Membership,No Membership
246,52,F,City,No Membership,No Membership
247,54,F,Town,Gold Membership,Paid
248,12,M,Town,Silver Membership,Paid
249,49,F,Town,Gold Membership,Paid
250,23,M,Town,Premium Membership,Paid
251,62,F,Village,No Membership,No Membership
252,45,M,Town,Silver Membership,Paid
253,17,F,Town,Silver Membership,Paid
254,22,M,Village,Basic Membership,Basic
255,38,M,Town,No Membership,No Membership
256,28,M,City,Platinum Membership,Paid
257,39,F,City,Silver Membership,Paid
258,61,F,Town,No Membership,No Membership
259,64,M,Town,Gold Membership,Paid
260,37,M,Town,Silver Membership,Paid
261,48,M,Town,No Membership,No Membership
262,54,M,Town,Premium Membership,Paid
263,34,F,City,Gold Membership,Paid
264,50,F,Town,Silver Membership,Paid
265,20,F,Town,Gold Membership,Paid
266,27,F,Village,No Membership,No Membership
267,14,F,Town,No Membership,No Membership
268,32,F,Town,No Membership,No Membership
269,55,F,City,No Membership,No Membership
270,21,F,City,No Membership,No Membership
271,12,M,Town,No Membership,No Membership
272,58,F,Town,Gold Membership,Paid
273,23,F,Town,Basic Membership,Basic
274,55,F,Town,Silver Membership,Paid
275,26,M,Town,Silver Membership,Paid
276,16,M,City,Gold Membership,Paid
277,17,M,Town,Silver Membership,Paid
278,11,M,City,Premium Membership,Paid
279,44,M,City,Gold Membership,Paid
280,16,F,Town,Gold Membership,Paid
281,30,F,City,No Membership,No Membership
282,17,F,Town,Silver Membership,Paid
283,35,M,City,Gold Membership,Paid
284,62,M,City,Basic Membership,Basic
285,25,M,Town,Basic Membership,Basic
286,22,F,Town,Silver Membership,Paid
287,58,F,Town,Basic Membership,Basic
288,62,F,Town,Basic Membership,Basic
289,41,M,Town,Gold Membership,Paid
290,48,M,Town,Premium Membership,Paid
291,41,M,City,Platinum Membership,Paid
292,38,M,Town,Basic Membership,Basic
293,21,M,Town,Platinum Membership,Paid
294,62,M,Town,Basic Membership,Basic
295,40,F,City,Basic Membership,Basic
296,48,M,Town,Gold Membership,Paid
297,38,M,Village,No Membership,No Membership
298,12,F,City,No Membership,No Membership
299,34,F,Town,Silver Membership,Paid
300,59,M,Town,Gold Membership,Paid
301,43,M,City,Basic Membership,Basic
302,15,M,Town,Silver Membership,Paid
303,23,M,Town,Silver Membership,Paid
304,55,M,Town,Premium Membership,Paid
305,59,F,Town,Premium Membership,Paid
306,50,M,Town,No Membership,No Membership
307,48,F,City,Basic Membership,Basic
308,23,F,City,No Membership,No Membership
309,55,M,Town,No Membership,No Membership
310,33,M,City,Platinum Membership,Paid
311,49,M,Town,No Membership,No Membership
312,55,M,Town,Silver Membership,Paid
313,56,F,Village,No Membership,No Membership
314,32,F,City,No Membership,No Membership
315,52,M,Village,Gold Membership,Paid
316,16,M,Town,No Membership,No Membership
317,48,F,Village,Basic Membership,Basic
318,61,M,City,Platinum Membership,Paid
319,33,F,Town,Basic Membership,Basic
320,22,M,City,No Membership,No Membership
321,15,M,City,Basic Membership,Basic
322,10,F,Village,Silver Membership,Paid
323,50,M,Village,Platinum Membership,Paid
324,12,M,City,No Membership,No Membership
325,10,M,Town,Premium Membership,Paid
326,12,M,Town,No Membership,No Membership
327,45,F,Town,No Membership,No Membership
328,14,F,Town,No Membership,No Membership
329,40,F,Town,Basic Membership,Basic
330,25,M,City,Platinum Membership,Paid
331,20,F,Town,Gold Membership,Paid
332,37,F,City,Basic Membership,Basic
333,13,M,City,Silver Membership,Paid
334,33,F,Town,Silver Membership,Paid
335,47,F,Town,Premium Membership,Paid
336,34,M,Town,No Membership,No Membership
337,60,M,City,Platinum Membership,Paid
338,10,F,Town,No Membership,No Membership
339,44,M,Town,Premium Membership,Paid
340,17,M,Village,Silver Membership,Paid
341,38,F,Town,Basic Membership,Basic
342,33,M,Town,Platinum Membership,Paid
343,16,F,City,Silver Membership,Paid
344,50,M,Village,Silver Membership,Paid
345,52,F,City,Basic Membership,Basic
346,36,M,City,Gold Membership,Paid
347,38,F,Town,No Membership,No Membership
348,54,F,City,Premium Membership,Paid
349,18,F,Town,No Membership,No Membership
350,27,M,City,Platinum Membership,Paid
351,38,F,Village,Basic Membership,Basic
352,59,M,Town,Premium Membership,Paid
353,51,F,City,Platinum Membership,Paid
354,14,F,Town,Gold Membership,Paid
355,62,F,Town,Premium Membership,Paid
356,47,F,City,Premium Membership,Paid
357,18,M,Town,Gold Membership,Paid
358,64,F,Village,Gold Membership,Paid
359,56,F,City,Premium Membership,Paid
360,52,M,Town,Silver Membership,Paid
361,49,M,City,No Membership,No Membership
362,15,M,Town,No Membership,No Membership
363,41,F,Town,Platinum Membership,Paid
364,25,F,Town,No Membership,No Membership
365,36,F,City,Gold Membership,Paid
366,16,F,Village,No Membership,No Membership
367,30,M,Town,Silver Membership,Paid
368,48,M,Town,Gold Membership,Paid
369,29,M,Town,Basic Membership,Basic
370,30,F,Town,Gold Membership,Paid
371,49,M,City,No Membership,No Membership
372,13,F,Town,Gold Membership,Paid
373,56,M,Village,Platinum Membership,Paid
374,36,M,Town,Platinum Membership,Paid
375,34,M,Town,Premium Membership,Paid
376,23,F,City,No Membership,No Membership
377,36,F,Town,No Membership,No Membership
378,20,M,City,Platinum Membership,Paid
379,35,F,City,Basic Membership,Basic
380,29,M,City,Basic Membership,Basic
381,38,F,City,No Membership,No Membership
382,46,M,Town,Gold Membership,Paid
383,60,F,City,Silver Membership,Paid
384,61,F,City,Premium Membership,Paid
385,56,F,Town,Gold Membership,Paid
386,41,M,City,Basic Membership,Basic
387,59,M,Town,Premium Membership,Paid
388,29,F,Town,Premium Membership,Paid
389,28,M,City,Silver Membership,Paid
390,56,F,Town,Basic Membership,Basic
391,43,F,Town,Gold Membership,Paid
392,28,F,Town,Silver Membership,Paid
393,16,F,Town,Silver Membership,Paid
394,60,F,Town,No Membership,No Membership
395,35,F,City,No Membership,No Membership
396,24,M,Village,Premium Membership,Paid
397,17,F,Town,Basic Membership,Basic
398,21,M,City,Gold Membership,Paid
399,16,F,Town,Basic Membership,Basic
400,64,M,Village,Platinum Membership,Paid
401,39,M,Town,Basic Membership,Basic
402,54,F,City,Basic Membership,Basic
403,63,F,City,Silver Membership,Paid
404,17,M,City,Basic Membership,Basic
405,36,F,Town,Basic Membership,Basic
406,55,M,Town,Silver Membership,Paid
407,24,F,Village,Gold Membership,Paid
408,55,M,Town,Gold Membership,Paid
409,63,M,Town,Platinum Membership,Paid
410,28,M,City,Basic Membership,Basic
411,35,M,Town,No Membership,No Membership
412,59,M,Town,No Membership,No Membership
413,23,F,Town,Silver Membership,Paid
414,32,M,Town,Silver Membership,Paid
415,36,M,City,No Membership,No Membership
416,19,M,Town,Premium Membership,Paid
417,47,M,City,Platinum Membership,Paid
418,42,M,City,No Membership,No Membership
419,30,M,City,Premium Membership,Paid
420,29,M,City,No Membership,No Membership
421,25,M,Town,Basic Membership,Basic
422,54,F,Village,No Membership,No Membership
423,38,F,Village,Basic Membership,Basic
424,19,F,Town,Premium Membership,Paid
425,28,F,Town,Silver Membership,Paid
426,57,F,City,Platinum Membership,Paid
427,56,F,Village,Platinum Membership,Paid
428,33,M,Town,No Membership,No Membership
429,36,M,City,Basic Membership,Basic
430,53,M,Town,Premium Membership,Paid
431,13,M,Town,Basic Membership,Basic
432,27,M,Village,Silver Membership,Paid
433,11,F,Town,Basic Membership,Basic
434,26,F,City,No Membership,No Membership
435,16,M,City,Basic Membership,Basic
436,51,M,Town,Premium Membership,Paid
437,23,M,Town,Silver Membership,Paid
438,25,F,City,Platinum Membership,Paid
439,16,M,Village,Basic Membership,Basic
440,60,F,Town,Basic Membership,Basic
441,61,M,Town,Basic Membership,Basic
442,44,M,City,Gold Membership,Paid
443,20,F,City,Gold Membership,Paid
444,27,M,Town,Silver Membership,Paid
445,22,F,City,Gold Membership,Paid
446,19,F,City,Silver Membership,Paid
447,49,M,Village,Premium Membership,Paid
448,40,M,Town,No Membership,No Membership
449,20,M,Village,No Membership,No Membership
450,52,M,Town,Platinum Membership,Paid
451,39,F,Town,Basic Membership,Basic
452,20,F,Village,Platinum Membership,Paid
453,25,M,City,No Membership,No Membership
454,16,M,City,Premium Membership,Paid
455,17,F,Town,No Membership,No Membership
456,64,F,City,No Membership,No Membership
457,37,F,Town,Basic Membership,Basic
458,49,F,Town,Basic Membership,Basic
459,36,M,City,Basic Membership,Basic
460,59,F,Village,Gold Membership,Paid
461,21,M,City,Premium Membership,Paid
462,17,M,City,Silver Membership,Paid
463,15,M,Town,Silver Membership,Paid
464,48,M,Village,Gold Membership,Paid
465,47,M,Town,Silver Membership,Paid
466,17,M,Town,Premium Membership,Paid
467,21,M,Town,Gold Membership,Paid
468,51,M,City,Platinum Membership,Paid
469,59,F,Town,Gold Membership,Paid
470,54,M,City,Gold Membership,Paid
471,24,M,Village,Platinum Membership,Paid
472,27,M,City,Platinum Membership,Paid
473,40,M,Village,Premium Membership,Paid
474,17,M,Town,Basic Membership,Basic
475,27,M,Village,Premium Membership,Paid
476,61,M,Village,Basic Membership,Basic
477,35,F,Town,Basic Membership,Basic
478,27,F,Town,Basic Membership,Basic
479,64,F,City,Basic Membership,Basic
480,26,M,Town,Gold Membership,Paid
481,40,M,Town,Silver Membership,Paid
482,57,F,City,Gold Membership,Paid
483,28,M,City,Gold Membership,Paid
484,60,M,Town,Basic Membership,Basic
485,51,F,Town,No Membership,No Membership
486,18,M,Town,Basic Membership,Basic
487,39,M,Village,Premium Membership,Paid
488,31,M,Town,Gold Membership,Paid
489,23,M,City,No Membership,No Membership
490,60,F,City,Silver Membership,Paid
491,49,M,City,Gold Membership,Paid
492,64,F,Village,Basic Membership,Basic
493,15,F,City,No Membership,No Membership
494,51,F,Town,Silver Membership,Paid
495,38,M,Town,Gold Membership,Paid
496,25,F,City,Platinum Membership,Paid
497,17,F,Village,Silver Membership,Paid
498,43,M,Town,Premium Membership,Paid
499,47,M,Town,Gold Membership,Paid
500,60,M,Town,Gold Membership,Paid
501,61,M,Town,Basic Membership,Basic
502,41,M,City,Silver Membership,Paid
503,39,M,Village,Basic Membership,Basic
504,55,F,Town,Premium Membership,Paid
505,57,F,City,Silver Membership,Paid
506,38,M,City,Platinum Membership,Paid
507,13,M,City,Basic Membership,Basic
508,10,F,Village,Basic Membership,Basic
509,15,M,Town,Basic Membership,Basic
510,53,F,City,Gold Membership,Paid
511,54,M,City,Gold Membership,Paid
512,46,F,Town,Gold Membership,Paid
513,28,M,Village,Premium Membership,Paid
514,39,F,Town,No Membership,No Membership
515,13,M,Town,No Membership,No Membership
516,42,F,Town,Gold Membership,Paid
517,56,M,Town,Gold Membership,Paid
518,46,M,Town,Gold Membership,Paid
519,41,F,Town,Premium Membership,Paid
520,56,F,Town,Premium Membership,Paid
521,29,F,Town,Premium Membership,Paid
522,59,F,City,Silver Membership,Paid
523,50,F,Town,Basic Membership,Basic
524,52,F,City,No Membership,No Membership
525,43,F,Town,No Membership,No Membership
526,29,M,Town,Gold Membership,Paid
527,44,M,City,No Membership,No Membership
528,32,F,City,No Membership,No Membership
529,40,M,City,Premium Membership,Paid
530,17,M,Town,Basic Membership,Basic
531,60,F,City,No Membership,No Membership
532,25,M,Town,Premium Membership,Paid
533,21,M,Town,Gold Membership,Paid
534,58,F,City,Gold Membership,Paid
535,12,M,City,Platinum Membership,Paid
536,46,M,City,Basic Membership,Basic
537,53,F,Town,No Membership,No Membership
538,26,F,Village,Premium Membership,Paid
539,18,M,Town,Gold Membership,Paid
540,60,M,Village,Silver Membership,Paid
541,26,M,Town,Platinum Membership,Paid
542,52,F,City,Silver Membership,Paid
543,35,F,City,Platinum Membership,Paid
544,19,F,Town,Gold Membership,Paid
545,38,M,Town,Silver Membership,Paid
546,59,F,Town,No Membership,No Membership
547,53,F,Town,Silver Membership,Paid
548,60,M,Town,Basic Membership,Basic
549,18,F,Town,Basic Membership,Basic
550,60,F,Town,Gold Membership,Paid
551,32,M,City,No Membership,No Membership
552,59,F,City,No Membership,No Membership
553,61,F,City,Gold Membership,Paid
554,41,F,Town,Gold Membership,Paid
555,11,M,Village,Basic Membership,Basic
556,55,F,Town,Premium Membership,Paid
557,13,F,City,Platinum Membership,Paid
558,55,F,Town,Silver Membership,Paid
559,10,M,City,Gold Membership,Paid
560,44,M,City,Gold Membership,Paid
561,63,M,Town,Silver Membership,Paid
562,15,F,Town,Gold Membership,Paid
563,20,M,Town,Gold Membership,Paid
564,61,M,City,Gold Membership,Paid
565,26,F,Village,Basic Membership,Basic
566,21,F,City,Basic Membership,Basic
567,28,M,City,Basic Membership,Basic
568,55,M,Town,No Membership,No Membership
569,17,F,Town,No Membership,No Membership
570,36,M,Town,Basic Membership,Basic
571,20,F,Town,Platinum Membership,Paid
572,24,F,Town,No Membership,No Membership
573,19,F,City,Basic Membership,Basic
574,33,M,Town,Premium Membership,Paid
575,58,M,Town,Silver Membership,Paid
576,49,F,Town,Gold Membership,Paid
577,34,F,Village,No Membership,No Membership
578,47,M,Town,Basic Membership,Basic
579,63,M,Town,Platinum Membership,Paid
580,45,M,Town,Basic Membership,Basic
581,15,F,Town,Gold Membership,Paid
582,19,M,Town,Premium Membership,Paid
583,38,M,Village,Platinum Membership,Paid
584,16,M,Town,Gold Membership,Paid
585,64,F,City,No Membership,No Membership
586,16,M,Town,Silver Membership,Paid
587,12,F,Town,Basic Membership,Basic
588,36,F,Town,Gold Membership,Paid
589,45,F,Town,Basic Membership,Basic
590,30,M,City,Premium Membership,Paid
591,45,M,City,Gold Membership,Paid
592,45,F,Town,Platinum Membership,Paid
593,32,M,City,Premium Membership,Paid
594,40,M,Village,No Membership,No Membership
595,50,F,City,Gold Membership,Paid
596,25,M,Town,Gold Membership,Paid
597,46,M,Town,Platinum Membership,Paid
598,36,M,City,Basic Membership,Basic
599,52,M,City,Gold Membership,Paid
600,34,M,City,Silver Membership,Paid
601,31,F,Town,Basic Membership,Basic
602,53,F,Village,No Membership,No Membership
603,22,F,Town,No Membership,No Membership
604,21,F,Town,Basic Membership,Basic
605,20,F,Town,Basic Membership,Basic
606,56,F,City,No Membership,No Membership
607,59,M,Town,No Membership,No Membership
608,62,M,Town,Silver Membership,Paid
609,16,F,Village,Basic Membership,Basic
610,45,M,Town,Premium Membership,Paid
611,55,F,Town,Platinum Membership,Paid
612,19,M,Town,Basic Membership,Basic
613,13,F,Village,Silver Membership,Paid
614,14,F,Village,Platinum Membership,Paid
615,15,M,Town,No Membership,No Membership
616,57,M,City,Gold Membership,Paid
617,48,M,Town,Platinum Membership,Paid
618,31,F,City,Gold Membership,Paid
619,29,F,City,Silver Membership,Paid
620,31,M,Town,No Membership,No Membership
621,34,M,Town,Silver Membership,Paid
622,57,F,City,Silver Membership,Paid
623,46,F,Village,Gold Membership,Paid
624,41,F,Village,No Membership,No Membership
625,11,M,Village,Basic Membership,Basic
626,40,F,City,Premium Membership,Paid
627,43,M,City,No Membership,No Membership
628,48,M,Town,Premium Membership,Paid
629,29,M,Town,Gold Membership,Paid
630,41,F,Town,Gold Membership,Paid
631,32,F,Town,No Membership,No Membership
632,38,M,City,No Membership,No Membership
633,56,F,Town,Platinum Membership,Paid
634,12,M,City,Gold Membership,Paid
635,30,M,Town,No Membership,No Membership
636,11,F,Town,No Membership,No Membership
637,61,M,Town,Silver Membership,Paid
638,41,F,Town,Premium Membership,Paid
639,17,F,City,Platinum Membership,Paid
640,63,M,Town,Premium Membership,Paid
641,13,F,Town,Premium Membership,Paid
642,55,M,Town,Platinum Membership,Paid
643,20,M,City,Basic Membership,Basic
644,29,F,Town,Premium Membership,Paid
645,27,F,Village,No Membership,No Membership
646,60,F,Town,Silver Membership,Paid
647,23,M,City,No Membership,No Membership
648,17,F,Village,No Membership,No Membership
649,15,M,City,Silver Membership,Paid
650,38,M,Town,Gold Membership,Paid
651,53,F,Town,Gold Membership,Paid
652,12,M,City,Gold Membership,Paid
653,55,F,Town,Platinum Membership,Paid
654,10,M,City,Premium Membership,Paid
655,58,F,Village,Silver Membership,Paid
656,15,M,Town,Gold Membership,Paid
657,34,M,City,Silver Membership,Paid
658,19,M,Village,Silver Membership,Paid
659,47,M,Town,Silver Membership,Paid
660,43,F,Town,Gold Membership,Paid
661,13,M,Town,Gold Membership,Paid
662,29,M,Town,Premium Membership,Paid
663,50,F,City,No Membership,No Membership
664,18,F,City,Silver Membership,Paid
665,43,M,Town,Gold Membership,Paid
666,43,M,Town,Silver Membership,Paid
667,26,M,Village,Premium Membership,Paid
668,51,M,Village,No Membership,No Membership
669,26,F,Town,Platinum Membership,Paid
670,64,F,Town,Silver Membership,Paid
671,13,F,Village,Premium Membership,Paid
672,14,M,City,Gold Membership,Paid
673,63,M,City,Platinum Membership,Paid
674,24,F,Town,Basic Membership,Basic
675,39,F,Village,Premium Membership,Paid
676,41,M,Town,No Membership,No Membership
677,20,F,Town,No Membership,No Membership
678,26,M,City,Platinum Membership,Paid
679,57,F,Town,Silver Membership,Paid
680,24,M,City,Gold Membership,Paid
681,20,F,City,Silver Membership,Paid
682,63,M,Town,Platinum Membership,Paid
683,63,M,City,Platinum Membership,Paid
684,27,M,Village,Basic Membership,Basic
685,43,F,Village,No Membership,No Membership
686,57,M,Town,Premium Membership,Paid
687,53,F,City,No Membership,No Membership
688,62,F,City,Gold Membership,Paid
689,36,F,City,No Membership,No Membership
690,18,M,City,Silver Membership,Paid
691,55,M,Town,Gold Membership,Paid
692,14,F,Town,Silver Membership,Paid
693,40,F,Town,No Membership,No Membership
694,62,F,Town,Basic Membership,Basic
695,19,F,Town,Silver Membership,Paid
696,59,M,Town,No Membership,No Membership
697,13,M,City,Gold Membership,Paid
698,48,F,Town,Basic Membership,Basic
699,58,M,City,No Membership,No Membership
700,53,M,City,Silver Membership,Paid
701,17,M,Town,Premium Membership,Paid
702,55,M,Town,Gold Membership,Paid
703,34,F,Town,Basic Membership,Basic
704,49,F,Town,Premium Membership,Paid
705,55,M,City,Basic Membership,Basic
706,50,F,Village,No Membership,No Membership
707,10,M,Town,Silver Membership,Paid
708,34,M,Town,Premium Membership,Paid
709,41,F,City,No Membership,No Membership
710,48,M,Town,Platinum Membership,Paid
711,44,F,Town,Basic Membership,Basic
712,63,M,Town,Silver Membership,Paid
713,21,M,City,Silver Membership,Paid
