customer_id,joined_through_referral,preferred_offer_types,medium_of_operation,internet_option,used_special_discount,offer_application_preference
71,Yes,Gift Vouchers/Coupons,Desktop,Fiber_Optic,No,Yes
72,No,Gift Vouchers/Coupons,Desktop,Mobile_Data,No,Yes
73,No,Credit/Debit Card Offers,Desktop,Wi-Fi,No,Yes
74,Yes,Without Offers,Both,Mobile_Data,Yes,Yes
75,No,Credit/Debit Card Offers,Desktop,Wi-Fi,Yes,No
76,No,Without Offers,Desktop,Fiber_Optic,Yes,No
77,Yes,Without Offers,Desktop,Wi-Fi,No,Yes
78,Yes,Credit/Debit Card Offers,Desktop,Wi-Fi,No,Yes
79,Yes,Gift Vouchers/Coupons,Desktop,Wi-Fi,No,Yes
80,Yes,Credit/Debit Card Offers,Smartphone,Mobile_Data,Yes,No
81,No,Without Offers,Desktop,Fiber_Optic,No,Yes
82,Yes,Without Offers,Desktop,Mobile_Data,Yes,No
83,No,Gift Vouchers/Coupons,Desktop,Wi-Fi,Yes,No
84,Yes,Credit/Debit Card Offers,Smartphone,Fiber_Optic,No,Yes
85,No,Without Offers,Both,Fiber_Optic,No,Yes
86,Yes,Credit/Debit Card Offers,Both,Mobile_Data,Yes,No
87,Yes,Credit/Debit Card Offers,Desktop,Wi-Fi,Yes,No
88,No,Credit/Debit Card Offers,Smartphone,Fiber_Optic,No,Yes
89,Yes,Without Offers,Desktop,Wi-Fi,Yes,No
90,Yes,Gift Vouchers/Coupons,Smartphone,Fiber_Optic,Yes,No
91,Yes,Gift Vouchers/Coupons,Desktop,Fiber_Optic,Yes,Yes
92,Yes,Without Offers,Smartphone,Mobile_Data,No,Yes
93,No,Credit/Debit Card Offers,Smartphone,Wi-Fi,No,Yes
94,Yes,Without Offers,Desktop,Fiber_Optic,Yes,No
95,Yes,Gift Vouchers/Coupons,Desktop,Mobile_Data,No,Yes
96,Yes,Credit/Debit Card Offers,Desktop,Wi-Fi,No,Yes
97,Yes,Credit/Debit Card Offers,Desktop,Wi-Fi,No,Yes
98,Yes,Without Offers,Desktop,Wi-Fi,Yes,Yes
99,No,Gift Vouchers/Coupons,Both,Fiber_Optic,No,Yes
100,Yes,Without Offers,Both,Mobile_Data,Yes,No
101,No,Credit/Debit Card Offers,Desktop,Mobile_Data,Yes,No
102,Yes,Credit/Debit Card Offers,Desktop,Wi-Fi,No,Yes
103,Yes,Credit/Debit Card Offers,Smartphone,Mobile_Data,Yes,No
104,Yes,Gift Vouchers/Coupons,Desktop,Mobile_Data,No,Yes
105,No,Gift Vouchers/Coupons,Desktop,Wi-Fi,Yes,Yes
106,No,Gift Vouchers/Coupons,Desktop,Mobile_Data,No,Yes
107,No,Credit/Debit Card Offers,Smartphone,Mobile_Data,No,Yes
108,No,Without Offers,Desktop,Fiber_Optic,Yes,No
109,No,Credit/Debit Card Offers,Desktop,Fiber_Optic,Yes,No
110,No,Credit/Debit Card Offers,Both,Wi-Fi,No,Yes
111,No,Gift Vouchers/Coupons,Desktop,Wi-Fi,Yes,No
112,Yes,Without Offers,Smartphone,Wi-Fi,No,Yes
113,No,Gift Vouchers/Coupons,Desktop,Mobile_Data,Yes,No
114,No,Credit/Debit Card Offers,Desktop,Mobile_Data,No,Yes
115,Yes,Gift Vouchers/Coupons,Smartphone,Mobile_Data,No,Yes
116,No,Credit/Debit Card Offers,Desktop,Mobile_Data,No,Yes
117,No,Without Offers,Desktop,Fiber_Optic,Yes,No
118,Yes,Credit/Debit Card Offers,Smartphone,Fiber_Optic,Yes,No
119,Yes,Gift Vouchers/Coupons,Desktop,Fiber_Optic,Yes,No
120,Yes,Gift Vouchers/Coupons,Desktop,Wi-Fi,Yes,No
121,Yes,Gift Vouchers/Coupons,Smartphone,Wi-Fi,Yes,No
122,Yes,Credit/Debit Card Offers,Smartphone,Wi-Fi,Yes,No
123,No,Credit/Debit Card Offers,Desktop,Mobile_Data,No,Yes
124,Yes,Credit/Debit Card Offers,Smartphone,Fiber_Optic,No,Yes
125,Yes,Gift Vouchers/Coupons,Desktop,Fiber_Optic,Yes,Yes
126,Yes,Gift Vouchers/Coupons,Smartphone,Mobile_Data,Yes,No
127,Yes,Gift Vouchers/Coupons,Desktop,Fiber_Optic,No,Yes
128,Yes,Credit/Debit Card Offers,Desktop,Mobile_Data,No,Yes
129,No,Without Offers,Both,Fiber_Optic,Yes,Yes
130,Yes,Credit/Debit Card Offers,Smartphone,Wi-Fi,No,Yes
131,No,Credit/Debit Card Offers,Desktop,Wi-Fi,Yes,No
132,Yes,Credit/Debit Card Offers,Smartphone,Mobile_Data,Yes,No
133,No,Credit/Debit Card Offers,Smartphone,Wi-Fi,Yes,No
134,Yes,Credit/Debit Card Offers,Desktop,Mobile_Data,Yes,No
135,Yes,Credit/Debit Card Offers,Smartphone,Mobile_Data,No,Yes
136,No,Without Offers,Desktop,Fiber_Optic,Yes,Yes
137,Yes,Gift Vouchers/Coupons,Desktop,Fiber_Optic,No,Yes
138,No,Without Offers,Smartphone,Fiber_Optic,No,Yes
139,Yes,Gift Vouchers/Coupons,Desktop,Wi-Fi,No,Yes
140,No,Credit/Debit Card Offers,Desktop,Mobile_Data,Yes,No
141,No,Credit/Debit Card Offers,Desktop,Wi-Fi,Yes,No
142,Yes,Credit/Debit Card Offers,Smartphone,Wi-Fi,Yes,No
143,Yes,Gift Vouchers/Coupons,Both,Mobile_Data,Yes,No
144,No,Gift Vouchers/Coupons,Desktop,Mobile_Data,Yes,No
145,Yes,Gift Vouchers/Coupons,Smartphone,Fiber_Optic,Yes,No
146,No,Credit/Debit Card Offers,Desktop,Wi-Fi,Yes,No
147,No,Gift Vouchers/Coupons,Smartphone,Mobile_Data,No,Yes
148,Yes,Without Offers,Both,Fiber_Optic,Yes,No
149,Yes,Gift Vouchers/Coupons,Desktop,Fiber_Optic,Yes,No
150,No,Without Offers,Both,Wi-Fi,Yes,Yes
151,Yes,Credit/Debit Card Offers,Smartphone,Fiber_Optic,Yes,No
152,Yes,Credit/Debit Card Offers,Smartphone,Mobile_Data,Yes,No
153,Yes,Credit/Debit Card Offers,Smartphone,Wi-Fi,No,Yes
154,Yes,Without Offers,Desktop,Wi-Fi,Yes,Yes
155,Yes,Gift Vouchers/Coupons,Smartphone,Wi-Fi,No,Yes
156,No,Gift Vouchers/Coupons,Smartphone,Wi-Fi,Yes,No
157,Yes,Credit/Debit Card Offers,Desktop,Fiber_Optic,Yes,No
158,No,Gift Vouchers/Coupons,Smartphone,Wi-Fi,No,Yes
159,No,Gift Vouchers/Coupons,Desktop,Wi-Fi,No,Yes
160,No,Credit/Debit Card Offers,Smartphone,Fiber_Optic,Yes,No
161,Yes,Without Offers,Smartphone,Wi-Fi,Yes,Yes
162,No,Gift Vouchers/Coupons,Desktop,Fiber_Optic,Yes,No
163,No,Gift Vouchers/Coupons,Smartphone,Wi-Fi,No,Yes
164,Yes,Without Offers,Smartphone,Fiber_Optic,Yes,No
165,Yes,Gift Vouchers/Coupons,Desktop,Mobile_Data,No,Yes
166,No,Without Offers,Smartphone,Wi-Fi,Yes,No
167,Yes,Credit/Debit Card Offers,Desktop,Mobile_Data,No,Yes
168,No,Credit/Debit Card Offers,Desktop,Wi-Fi,Yes,No
169,No,Without Offers,Smartphone,Mobile_Data,No,Yes
170,Yes,Without Offers,Both,Mobile_Data,Yes,No
171,Yes,Credit/Debit Card Offers,Smartphone,Fiber_Optic,Yes,No
172,Yes,Without Offers,Both,Mobile_Data,Yes,Yes
173,No,Gift Vouchers/Coupons,Desktop,Fiber_Optic,No,Yes
174,Yes,Without Offers,Desktop,Fiber_Optic,No,Yes
175,Yes,Gift Vouchers/Coupons,Desktop,Wi-Fi,No,Yes
176,Yes,Credit/Debit Card Offers,Desktop,Fiber_Optic,Yes,No
177,No,Gift Vouchers/Coupons,Desktop,Wi-Fi,Yes,No
178,Yes,Without Offers,Desktop,Fiber_Optic,Yes,Yes
179,No,Gift Vouchers/Coupons,Desktop,Fiber_Optic,Yes,No
180,No,Gift Vouchers/Coupons,Smartphone,Fiber_Optic,No,Yes
181,Yes,Without Offers,Desktop,Wi-Fi,No,Yes
182,No,Gift Vouchers/Coupons,Desktop,Mobile_Data,Yes,No
183,Yes,Gift Vouchers/Coupons,Both,Wi-Fi,Yes,No
184,Yes,Without Offers,Both,Mobile_Data,No,Yes
185,Yes,Credit/Debit Card Offers,Smartphone,Mobile_Data,Yes,No
186,Yes,Without Offers,Smartphone,Wi-Fi,No,Yes
187,Yes,Without Offers,Smartphone,Fiber_Optic,Yes,No
188,No,Credit/Debit Card Offers,Desktop,Mobile_Data,Yes,No
189,Yes,Credit/Debit Card Offers,Both,Mobile_Data,Yes,No
190,No,Credit/Debit Card Offers,Smartphone,Mobile_Data,No,Yes
191,Yes,Gift Vouchers/Coupons,Both,Fiber_Optic,Yes,Yes
192,No,Gift Vouchers/Coupons,Smartphone,Wi-Fi,Yes,No
193,Yes,Without Offers,Smartphone,Fiber_Optic,Yes,No
194,No,Gift Vouchers/Coupons,Desktop,Fiber_Optic,No,Yes
195,Yes,Credit/Debit Card Offers,Desktop,Wi-Fi,No,Yes
196,No,Credit/Debit Card Offers,Desktop,Fiber_Optic,Yes,No
197,No,Without Offers,Desktop,Wi-Fi,No,Yes
198,No,Credit/Debit Card Offers,Desktop,Mobile_Data,No,Yes
199,No,Without Offers,Smartphone,Fiber_Optic,Yes,No
200,No,Gift Vouchers/Coupons,Smartphone,Fiber_Optic,Yes,No
201,No,Gift Vouchers/Coupons,Desktop,Mobile_Data,No,Yes
202,Yes,Gift Vouchers/Coupons,Desktop,Mobile_Data,No,Yes
203,Yes,Gift Vouchers/Coupons,Desktop,Wi-Fi,Yes,No
204,No,Gift Vouchers/Coupons,Desktop,Mobile_Data,No,Yes
205,No,Gift Vouchers/Coupons,Both,Wi-Fi,No,Yes
206,Yes,Without Offers,Smartphone,Fiber_Optic,Yes,No
207,Yes,Gift Vouchers/Coupons,Desktop,Mobile_Data,No,Yes
208,Yes,Without Offers,Desktop,Mobile_Data,Yes,Yes
209,Yes,Gift Vouchers/Coupons,Desktop,Fiber_Optic,No,Yes
210,No,Without Offers,Desktop,Wi-Fi,Yes,No
211,Yes,Credit/Debit Card Offers,Both,Fiber_Optic,No,Yes
212,Yes,Without Offers,Desktop,Fiber_Optic,No,Yes
213,Yes,Credit/Debit Card Offers,Desktop,Mobile_Data,Yes,No
214,Yes,Without Offers,Desktop,Wi-Fi,No,Yes
215,Yes,Without Offers,Desktop,Wi-Fi,No,Yes
216,No,Credit/Debit Card Offers,Desktop,Wi-Fi,No,Yes
217,No,Gift Vouchers/Coupons,Smartphone,Fiber_Optic,Yes,No
218,No,Gift Vouchers/Coupons,Desktop,Fiber_Optic,Yes,No
219,Yes,Without Offers,Desktop,Mobile_Data,No,Yes
220,No,Gift Vouchers/Coupons,Desktop,Wi-Fi,No,Yes
221,No,Credit/Debit Card Offers,Desktop,Wi-Fi,Yes,No
222,No,Gift Vouchers/Coupons,Both,Mobile_Data,No,Yes
223,Yes,Credit/Debit Card Offers,Smartphone,Mobile_Data,No,Yes
224,No,Gift Vouchers/Coupons,Desktop,Fiber_Optic,No,Yes
225,No,Without Offers,Smartphone,Wi-Fi,No,Yes
226,Yes,Gift Vouchers/Coupons,Smartphone,Wi-Fi,No,Yes
227,Yes,Credit/Debit Card Offers,Desktop,Mobile_Data,No,Yes
228,No,Without Offers,Desktop,Wi-Fi,Yes,No
229,Yes,Gift Vouchers/Coupons,Desktop,Wi-Fi,No,Yes
230,Yes,Without Offers,Smartphone,Fiber_Optic,No,Yes
231,No,Without Offers,Smartphone,Fiber_Optic,Yes,Yes
232,No,Without Offers,Desktop,Wi-Fi,No,Yes
233,Yes,Gift Vouchers/Coupons,Smartphone,Fiber_Optic,Yes,No
234,Yes,Gift Vouchers/Coupons,Desktop,Mobile_Data,No,Yes
235,No,Without Offers,Smartphone,Mobile_Data,No,Yes
236,No,Credit/Debit Card Offers,Desktop,Mobile_Data,No,Yes
237,No,Credit/Debit Card Offers,Desktop,Wi-Fi,No,Yes
238,Yes,Without Offers,Desktop,Fiber_Optic,Yes,No
239,Yes,Credit/Debit Card Offers,Smartphone,Mobile_Data,Yes,Yes
240,No,Gift Vouchers/Coupons,Smartphone,Mobile_Data,Yes,No
241,Yes,Gift Vouchers/Coupons,Desktop,Mobile_Data,No,Yes
242,Yes,Gift Vouchers/Coupons,Smartphone,Fiber_Optic,Yes,No
243,Yes,Gift Vouchers/Coupons,Both,Fiber_Optic,No,Yes
244,Yes,Gift Vouchers/Coupons,Smartphone,Fiber_Optic,Yes,No
245,Yes,Gift Vouchers/Coupons,Desktop,Mobile_Data,Yes,No
246,No,Without Offers,Desktop,Fiber_Optic,No,Yes
247,Yes,Gift Vouchers/Coupons,Smartphone,Fiber_Optic,No,Yes
248,Yes,Credit/Debit Card Offers,Smartphone,Wi-Fi,Yes,No
249,Yes,Credit/Debit Card Offers,Smartphone,Fiber_Optic,Yes,No
250,No,Without Offers,Desktop,Wi-Fi,Yes,No
251,Yes,Credit/Debit Card Offers,Smartphone,Mobile_Data,No,Yes
252,No,Credit/Debit Card Offers,Smartphone,Fiber_Optic,Yes,No
253,Yes,Without Offers,Smartphone,Wi-Fi,Yes,No
254,Yes,Without Offers,Desktop,Wi-Fi,Yes,No
255,No,Gift Vouchers/Coupons,Desktop,Mobile_Data,No,Yes
256,Yes,Without Offers,Smartphone,Wi-Fi,Yes,No
257,No,Credit/Debit Card Offers,Desktop,Fiber_Optic,No,Yes
258,Yes,Gift Vouchers/Coupons,Desktop,Wi-Fi,No,Yes
259,Yes,Gift Vouchers/Coupons,Desktop,Mobile_Data,No,Yes
260,Yes,Without Offers,Smartphone,Wi-Fi,Yes,No
261,No,Credit/Debit Card Offers,Desktop,Wi-Fi,No,Yes
262,Yes,Gift Vouchers/Coupons,Smartphone,Fiber_Optic,Yes,No
263,No,Credit/Debit Card Offers,Desktop,Mobile_Data,Yes,No
264,Yes,Gift Vouchers/Coupons,Desktop,Fiber_Optic,Yes,No
265,Yes,Credit/Debit Card Offers,Desktop,Wi-Fi,Yes,No
266,Yes,Credit/Debit Card Offers,Desktop,Mobile_Data,No,Yes
267,Yes,Credit/Debit Card Offers,Desktop,Wi-Fi,No,Yes
268,Yes,Credit/Debit Card Offers,Both,Fiber_Optic,Yes,Yes
269,No,Credit/Debit Card Offers,Desktop,Wi-Fi,No,Yes
270,No,Gift Vouchers/Coupons,Smartphone,Mobile_Data,Yes,No
271,Yes,Gift Vouchers/Coupons,Desktop,Wi-Fi,No,Yes
272,Yes,Without Offers,Both,Fiber_Optic,No,Yes
273,No,Credit/Debit Card Offers,Smartphone,Wi-Fi,No,Yes
274,Yes,Without Offers,Smartphone,Fiber_Optic,Yes,Yes
275,Yes,Credit/Debit Card Offers,Desktop,Wi-Fi,No,Yes
276,Yes,Without Offers,Desktop,Fiber_Optic,Yes,Yes
277,No,Without Offers,Smartphone,Mobile_Data,Yes,Yes
278,No,Without Offers,Smartphone,Fiber_Optic,No,Yes
279,Yes,Credit/Debit Card Offers,Smartphone,Fiber_Optic,Yes,No
280,No,Credit/Debit Card Offers,Desktop,Fiber_Optic,Yes,Yes
281,Yes,Gift Vouchers/Coupons,Desktop,Wi-Fi,No,Yes
282,Yes,Credit/Debit Card Offers,Desktop,Mobile_Data,Yes,Yes
283,Yes,Gift Vouchers/Coupons,Both,Mobile_Data,Yes,No
284,Yes,Without Offers,Desktop,Mobile_Data,No,Yes
285,Yes,Credit/Debit Card Offers,Desktop,Wi-Fi,No,Yes
286,Yes,Without Offers,Smartphone,Mobile_Data,Yes,No
287,No,Credit/Debit Card Offers,Desktop,Mobile_Data,Yes,No
288,No,Credit/Debit Card Offers,Desktop,Mobile_Data,Yes,No
289,Yes,Without Offers,Smartphone,Wi-Fi,No,Yes
290,Yes,Gift Vouchers/Coupons,Desktop,Fiber_Optic,No,Yes
291,Yes,Gift Vouchers/Coupons,Smartphone,Mobile_Data,Yes,No
292,No,Gift Vouchers/Coupons,Smartphone,Wi-Fi,Yes,No
293,No,Credit/Debit Card Offers,Smartphone,Mobile_Data,Yes,No
294,Yes,Gift Vouchers/Coupons,Smartphone,Fiber_Optic,No,Yes
295,Yes,Credit/Debit Card Offers,Smartphone,Mobile_Data,Yes,No
296,No,Gift Vouchers/Coupons,Desktop,Fiber_Optic,No,Yes
297,No,Without Offers,Desktop,Mobile_Data,Yes,No
298,Yes,Without Offers,Both,Fiber_Optic,Yes,Yes
299,No,Gift Vouchers/Coupons,Desktop,Mobile_Data,No,Yes
300,No,Gift Vouchers/Coupons,Desktop,Fiber_Optic,No,Yes
301,Yes,Credit/Debit Card Offers,Desktop,Mobile_Data,No,Yes
302,Yes,Gift Vouchers/Coupons,Smartphone,Mobile_Data,Yes,Yes
303,No,Gift Vouchers/Coupons,Desktop,Wi-Fi,Yes,No
304,Yes,Without Offers,Smartphone,Mobile_Data,Yes,No
305,Yes,Gift Vouchers/Coupons,Desktop,Wi-Fi,Yes,Yes
306,Yes,Gift Vouchers/Coupons,Smartphone,Fiber_Optic,No,Yes
307,Yes,Credit/Debit Card Offers,Smartphone,Mobile_Data,Yes,No
308,Yes,Without Offers,Smartphone,Mobile_Data,Yes,No
309,No,Without Offers,Smartphone,Mobile_Data,No,Yes
310,No,Gift Vouchers/Coupons,Smartphone,Mobile_Data,No,Yes
311,Yes,Without Offers,Smartphone,Wi-Fi,Yes,No
312,No,Without Offers,Desktop,Mobile_Data,Yes,No
313,Yes,Without Offers,Smartphone,Fiber_Optic,Yes,No
314,Yes,Gift Vouchers/Coupons,Desktop,Wi-Fi,No,Yes
315,No,Without Offers,Desktop,Wi-Fi,No,Yes
316,Yes,Credit/Debit Card Offers,Smartphone,Wi-Fi,Yes,No
317,Yes,Credit/Debit Card Offers,Smartphone,Mobile_Data,Yes,No
318,No,Gift Vouchers/Coupons,Smartphone,Mobile_Data,Yes,No
319,Yes,Without Offers,Smartphone,Wi-Fi,No,Yes
320,Yes,Gift Vouchers/Coupons,Desktop,Wi-Fi,No,Yes
321,No,Without Offers,Smartphone,Wi-Fi,Yes,No
322,No,Without Offers,Desktop,Fiber_Optic,Yes,No
323,Yes,Gift Vouchers/Coupons,Both,Fiber_Optic,Yes,No
324,Yes,Credit/Debit Card Offers,Desktop,Mobile_Data,No,Yes
325,Yes,Gift Vouchers/Coupons,Smartphone,Mobile_Data,Yes,No
326,No,Credit/Debit Card Offers,Desktop,Fiber_Optic,No,Yes
327,Yes,Without Offers,Smartphone,Wi-Fi,Yes,Yes
328,Yes,Without Offers,Desktop,Wi-Fi,Yes,Yes
329,Yes,Without Offers,Smartphone,Wi-Fi,No,Yes
330,Yes,Credit/Debit Card Offers,Smartphone,Wi-Fi,Yes,No
331,Yes,Credit/Debit Card Offers,Smartphone,Fiber_Optic,No,Yes
332,Yes,Without Offers,Smartphone,Mobile_Data,No,Yes
333,No,Gift Vouchers/Coupons,Desktop,Wi-Fi,Yes,No
334,Yes,Gift Vouchers/Coupons,Desktop,Fiber_Optic,No,Yes
335,No,Without Offers,Smartphone,Mobile_Data,No,Yes
336,No,Credit/Debit Card Offers,Smartphone,Mobile_Data,No,Yes
337,No,Gift Vouchers/Coupons,Desktop,Wi-Fi,No,Yes
338,Yes,Without Offers,Smartphone,Wi-Fi,No,Yes
339,No,Without Offers,Smartphone,Fiber_Optic,Yes,No
340,No,Credit/Debit Card Offers,Desktop,Wi-Fi,Yes,No
341,Yes,Without Offers,Desktop,Fiber_Optic,Yes,No
342,Yes,Credit/Debit Card Offers,Desktop,Mobile_Data,No,Yes
343,Yes,Without Offers,Smartphone,Mobile_Data,No,Yes
344,No,Without Offers,Desktop,Fiber_Optic,Yes,Yes
345,Yes,Credit/Debit Card Offers,Smartphone,Wi-Fi,No,Yes
346,No,Gift Vouchers/Coupons,Desktop,Mobile_Data,Yes,No
347,Yes,Without Offers,Smartphone,Wi-Fi,Yes,No
348,Yes,Without Offers,Desktop,Wi-Fi,Yes,No
349,Yes,Without Offers,Smartphone,Mobile_Data,No,Yes
350,No,Credit/Debit Card Offers,Desktop,Wi-Fi,Yes,Yes
351,Yes,Gift Vouchers/Coupons,Desktop,Mobile_Data,Yes,No
352,No,Gift Vouchers/Coupons,Desktop,Fiber_Optic,Yes,No
353,Yes,Without Offers,Desktop,Wi-Fi,Yes,No
354,Yes,Credit/Debit Card Offers,Desktop,Wi-Fi,Yes,No
355,Yes,Credit/Debit Card Offers,Smartphone,Wi-Fi,No,Yes
356,Yes,Without Offers,Desktop,Wi-Fi,Yes,No
357,No,Without Offers,Desktop,Fiber_Optic,Yes,No
358,Yes,Gift Vouchers/Coupons,Smartphone,Wi-Fi,No,Yes
359,No,Without Offers,Desktop,Fiber_Optic,Yes,No
360,No,Credit/Debit Card Offers,Desktop,Fiber_Optic,No,Yes
361,No,Gift Vouchers/Coupons,Smartphone,Mobile_Data,Yes,No
362,Yes,Without Offers,Desktop,Wi-Fi,Yes,No
363,No,Gift Vouchers/Coupons,Smartphone,Mobile_Data,Yes,No
364,No,Without Offers,Smartphone,Mobile_Data,Yes,No
365,Yes,Without Offers,Smartphone,Fiber_Optic,No,Yes
366,No,Credit/Debit Card Offers,Both,Fiber_Optic,Yes,Yes
367,Yes,Gift Vouchers/Coupons,Smartphone,Wi-Fi,No,Yes
368,Yes,Credit/Debit Card Offers,Desktop,Fiber_Optic,No,Yes
369,Yes,Gift Vouchers/Coupons,Desktop,Fiber_Optic,No,Yes
370,No,Gift Vouchers/Coupons,Desktop,Fiber_Optic,No,Yes
371,Yes,Credit/Debit Card Offers,Smartphone,Fiber_Optic,No,Yes
372,Yes,Without Offers,Desktop,Wi-Fi,Yes,Yes
373,Yes,Without Offers,Both,Fiber_Optic,Yes,Yes
374,Yes,Gift Vouchers/Coupons,Desktop,Wi-Fi,Yes,Yes
375,Yes,Credit/Debit Card Offers,Both,Wi-Fi,Yes,Yes
376,No,Without Offers,Smartphone,Fiber_Optic,No,Yes
377,No,Credit/Debit Card Offers,Desktop,Mobile_Data,Yes,No
378,Yes,Gift Vouchers/Coupons,Desktop,Mobile_Data,No,Yes
379,No,Gift Vouchers/Coupons,Desktop,Mobile_Data,No,Yes
380,No,Without Offers,Desktop,Wi-Fi,Yes,No
381,Yes,Gift Vouchers/Coupons,Desktop,Mobile_Data,Yes,No
382,No,Without Offers,Smartphone,Mobile_Data,No,Yes
383,No,Gift Vouchers/Coupons,Smartphone,Fiber_Optic,Yes,No
384,Yes,Gift Vouchers/Coupons,Desktop,Wi-Fi,Yes,No
385,Yes,Gift Vouchers/Coupons,Desktop,Wi-Fi,No,Yes
386,No,Without Offers,Smartphone,Mobile_Data,No,Yes
